row_id,process.b1.capacity,process.b2.capacity,process.b3.capacity,process.b4.capacity,property.price,property.product,property.winner,verification.time
2,0.0,0.0,2.0,1.0,59.0,4,0,154.888888888889
10,0.0,0.0,2.0,1.0,60.0,4,0,80.25
12,0.0,0.0,2.0,1.0,60.0,4,4,144.694444444444
17,0.0,0.0,2.0,1.0,69.0,5,0,322.055555555556
22,0.0,0.0,2.0,1.0,70.0,5,3,378.822222222222
29,0.0,1.0,1.0,1.0,60.0,6,0,90.0
31,0.0,1.0,1.0,1.0,60.0,6,3,243.516666666667
34,0.0,1.0,1.0,1.0,61.0,4,0,546.346153846154
38,0.0,1.0,1.0,1.0,63.0,4,0,553.769230769231
52,0.0,1.0,1.0,1.0,69.0,5,0,751.1875
59,0.0,1.0,1.0,1.0,70.0,3,3,165.416666666667
61,0.0,1.0,1.0,1.0,70.0,4,0,418.057692307692
63,0.0,1.0,1.0,1.0,70.0,4,3,529.076923076923
69,0.0,1.0,1.0,1.0,74.0,5,0,745.5375
72,0.0,1.0,1.0,1.0,77.0,5,0,725.55
73,0.0,1.0,1.0,1.0,78.0,5,0,742.825
79,0.0,1.0,2.0,0.0,59.0,1,0,513.233333333333
91,0.0,1.0,2.0,0.0,61.0,4,0,441.838888888889
92,0.0,1.0,2.0,0.0,62.0,1,0,463.708333333333
94,0.0,1.0,2.0,0.0,62.0,4,0,434.75
95,0.0,1.0,2.0,0.0,63.0,1,0,463.075
96,0.0,1.0,2.0,0.0,63.0,2,0,1290.88
112,0.0,1.0,2.0,0.0,68.0,4,0,363.255555555556
114,0.0,1.0,2.0,0.0,69.0,2,0,1020.25
117,0.0,1.0,2.0,0.0,70.0,1,0,383.191666666667
123,0.0,1.0,2.0,0.0,70.0,3,3,99.945
125,0.0,1.0,2.0,0.0,70.0,4,2,375.733333333333
136,0.0,1.0,2.0,0.0,80.0,2,0,119.28
140,0.0,1.0,2.0,1.0,59.0,2,0,1716.80714285714
141,0.0,1.0,2.0,1.0,59.0,4,0,585.787037037037
146,0.0,1.0,2.0,1.0,60.0,6,0,92.2428571428571
153,0.0,1.0,2.0,1.0,62.0,1,0,628.72619047619
164,0.0,1.0,2.0,1.0,65.0,4,0,519.203703703704
171,0.0,1.0,2.0,1.0,68.0,1,0,557.428571428571
173,0.0,1.0,2.0,1.0,68.0,4,0,492.25
184,0.0,1.0,2.0,1.0,70.0,3,0,159.65
194,0.0,1.0,2.0,1.0,71.0,5,0,762.522222222222
196,0.0,1.0,2.0,1.0,72.0,5,0,744.561111111111
199,0.0,1.0,2.0,1.0,74.0,2,0,1393.12142857143
202,0.0,1.0,2.0,1.0,75.0,5,0,735.544444444444
206,0.0,1.0,2.0,1.0,77.0,5,0,734.844444444444
207,0.0,1.0,2.0,1.0,78.0,2,0,1316.18571428571
217,0.0,1.0,2.0,1.0,80.0,5,3,782.688888888889
219,0.0,2.0,1.0,0.0,59.0,1,0,522.525
225,0.0,2.0,1.0,0.0,60.0,6,2,87.55
236,0.0,2.0,1.0,0.0,65.0,4,0,379.2375
242,0.0,2.0,1.0,0.0,68.0,4,0,357.725
248,0.0,2.0,1.0,0.0,70.0,1,3,446.125
254,0.0,2.0,1.0,0.0,70.0,4,3,420.625
261,0.0,2.0,1.0,1.0,60.0,6,2,95.9722222222222
267,0.0,2.0,1.0,1.0,62.0,4,0,551.4375
270,0.0,2.0,1.0,1.0,64.0,1,0,559.21875
271,0.0,2.0,1.0,1.0,64.0,4,0,488.895833333333
274,0.0,2.0,1.0,1.0,66.0,1,0,568.4375
275,0.0,2.0,1.0,1.0,66.0,4,0,486.645833333333
277,0.0,2.0,1.0,1.0,67.0,4,0,526.583333333333
279,0.0,2.0,1.0,1.0,68.0,4,0,485.833333333333
280,0.0,2.0,1.0,1.0,69.0,1,0,581.90625
283,0.0,2.0,1.0,1.0,69.0,5,0,745.525
284,0.0,2.0,1.0,1.0,70.0,1,0,523.40625
286,0.0,2.0,1.0,1.0,70.0,1,3,609.34375
296,0.0,2.0,1.0,1.0,70.0,5,0,756.35
308,0.0,2.0,1.0,1.0,80.0,5,3,771.8
309,0.0,2.0,1.0,1.0,80.0,5,4,104.5
310,0.0,2.0,2.0,0.0,59.0,1,0,511.479166666667
316,0.0,2.0,2.0,0.0,60.0,4,0,413.9375
321,0.0,2.0,2.0,0.0,61.0,2,0,1283.66964285714
324,0.0,2.0,2.0,0.0,62.0,2,0,1246.28571428571
327,0.0,2.0,2.0,0.0,63.0,2,0,1302.47321428571
328,0.0,2.0,2.0,0.0,63.0,4,0,454.069444444444
329,0.0,2.0,2.0,0.0,64.0,1,0,387.135416666667
337,0.0,2.0,2.0,0.0,66.0,4,0,384.277777777778
347,0.0,2.0,2.0,0.0,69.0,4,0,394.076388888889
350,0.0,2.0,2.0,0.0,70.0,1,3,448.364583333333
351,0.0,2.0,2.0,0.0,70.0,2,0,1018.71428571429
362,0.0,2.0,2.0,0.0,75.0,2,0,1337.20535714286
363,0.0,2.0,2.0,0.0,76.0,2,0,981.241071428571
369,0.0,2.0,2.0,0.0,80.0,2,3,123.607142857143
370,0.0,2.0,2.0,1.0,59.0,1,0,678.703703703704
372,0.0,2.0,2.0,1.0,59.0,4,0,583.076388888889
373,0.0,2.0,2.0,1.0,59.0,6,0,254.765151515152
375,0.0,2.0,2.0,1.0,60.0,2,0,1310.68181818182
376,0.0,2.0,2.0,1.0,60.0,4,0,555.909722222222
381,0.0,2.0,2.0,1.0,61.0,1,0,641.87037037037
388,0.0,2.0,2.0,1.0,63.0,2,0,1436.79545454545
394,0.0,2.0,2.0,1.0,65.0,2,0,1301.30303030303
398,0.0,2.0,2.0,1.0,66.0,4,0,506.972222222222
406,0.0,2.0,2.0,1.0,69.0,2,0,1224.41666666667
408,0.0,2.0,2.0,1.0,69.0,4,0,531.340277777778
424,0.0,2.0,2.0,1.0,71.0,2,0,1325.93181818182
431,0.0,2.0,2.0,1.0,74.0,5,0,758.284722222222
432,0.0,2.0,2.0,1.0,75.0,2,0,1557.20454545455
433,0.0,2.0,2.0,1.0,75.0,5,0,751.152777777778
436,0.0,2.0,2.0,1.0,77.0,2,0,1322.49242424242
440,0.0,2.0,2.0,1.0,79.0,2,0,1494.63636363636
443,0.0,2.0,2.0,1.0,80.0,2,2,379.893939393939
444,0.0,2.0,2.0,1.0,80.0,2,3,133.05303030303
446,0.0,2.0,2.0,1.0,80.0,5,0,103.159722222222
456,0.0,3.0,1.0,0.0,60.0,6,2,92.5
457,0.0,3.0,1.0,0.0,60.0,6,3,139.125
460,0.0,3.0,1.0,0.0,62.0,1,0,473.375
461,0.0,3.0,1.0,0.0,62.0,4,0,432.25
462,0.0,3.0,1.0,0.0,63.0,1,0,461.5
