row_id,process.b1.capacity,process.b2.capacity,process.b3.capacity,process.b4.capacity,property.price,property.product,property.winner,verification.time
0,0.0,0.0,2.0,1.0,59.0,1,0,163.316666666667
1,0.0,0.0,2.0,1.0,59.0,2,0,200.86
3,0.0,0.0,2.0,1.0,59.0,6,0,108.64
4,0.0,0.0,2.0,1.0,60.0,1,0,85.4666666666667
5,0.0,0.0,2.0,1.0,60.0,1,3,82.0
6,0.0,0.0,2.0,1.0,60.0,1,4,154.25
7,0.0,0.0,2.0,1.0,60.0,2,0,80.95
9,0.0,0.0,2.0,1.0,60.0,2,4,197.01
11,0.0,0.0,2.0,1.0,60.0,4,3,77.9166666666667
14,0.0,0.0,2.0,1.0,60.0,6,3,78.84
15,0.0,0.0,2.0,1.0,60.0,6,4,78.15
18,0.0,0.0,2.0,1.0,70.0,3,0,87.1
20,0.0,0.0,2.0,1.0,70.0,3,4,80.86
23,0.0,0.0,2.0,1.0,70.0,5,4,207.772222222222
25,0.0,1.0,1.0,1.0,59.0,4,0,564.634615384615
26,0.0,1.0,1.0,1.0,59.0,6,0,248.216666666667
27,0.0,1.0,1.0,1.0,60.0,1,0,578.625
28,0.0,1.0,1.0,1.0,60.0,4,0,523.961538461538
30,0.0,1.0,1.0,1.0,60.0,6,2,94.5833333333333
32,0.0,1.0,1.0,1.0,60.0,6,4,225.05
35,0.0,1.0,1.0,1.0,62.0,1,0,596.475
36,0.0,1.0,1.0,1.0,62.0,4,0,554.115384615385
37,0.0,1.0,1.0,1.0,63.0,1,0,603.65
39,0.0,1.0,1.0,1.0,64.0,1,0,532.8
40,0.0,1.0,1.0,1.0,64.0,4,0,483.461538461538
42,0.0,1.0,1.0,1.0,65.0,4,0,505.961538461538
43,0.0,1.0,1.0,1.0,66.0,1,0,564.3
45,0.0,1.0,1.0,1.0,67.0,1,0,588.9
47,0.0,1.0,1.0,1.0,68.0,1,0,537.075
49,0.0,1.0,1.0,1.0,69.0,1,0,544.05
53,0.0,1.0,1.0,1.0,70.0,1,0,518.2
54,0.0,1.0,1.0,1.0,70.0,1,2,547.725
55,0.0,1.0,1.0,1.0,70.0,1,3,602.125
56,0.0,1.0,1.0,1.0,70.0,1,4,588.2
57,0.0,1.0,1.0,1.0,70.0,3,0,153.516666666667
58,0.0,1.0,1.0,1.0,70.0,3,2,151.133333333333
60,0.0,1.0,1.0,1.0,70.0,3,4,176.716666666667
64,0.0,1.0,1.0,1.0,70.0,4,4,518.365384615385
65,0.0,1.0,1.0,1.0,70.0,5,0,739.475
71,0.0,1.0,1.0,1.0,76.0,5,0,752.3
74,0.0,1.0,1.0,1.0,79.0,5,0,723.8125
76,0.0,1.0,1.0,1.0,80.0,5,2,770.2375
77,0.0,1.0,1.0,1.0,80.0,5,3,770.75
78,0.0,1.0,1.0,1.0,80.0,5,4,106.3375
80,0.0,1.0,2.0,0.0,59.0,2,0,1527.53
81,0.0,1.0,2.0,0.0,59.0,4,0,476.322222222222
84,0.0,1.0,2.0,0.0,60.0,2,0,1137.465
85,0.0,1.0,2.0,0.0,60.0,4,0,419.855555555556
87,0.0,1.0,2.0,0.0,60.0,6,2,85.25
88,0.0,1.0,2.0,0.0,60.0,6,3,134.325
93,0.0,1.0,2.0,0.0,62.0,2,0,1245.215
98,0.0,1.0,2.0,0.0,64.0,1,0,389.3
99,0.0,1.0,2.0,0.0,64.0,2,0,991.07
100,0.0,1.0,2.0,0.0,64.0,4,0,362.811111111111
101,0.0,1.0,2.0,0.0,65.0,1,0,411.825
103,0.0,1.0,2.0,0.0,65.0,4,0,384.338888888889
104,0.0,1.0,2.0,0.0,66.0,1,0,398.483333333333
105,0.0,1.0,2.0,0.0,66.0,2,0,1098.255
106,0.0,1.0,2.0,0.0,66.0,4,0,377.394444444444
108,0.0,1.0,2.0,0.0,67.0,2,0,1236.05
110,0.0,1.0,2.0,0.0,68.0,1,0,395.458333333333
111,0.0,1.0,2.0,0.0,68.0,2,0,917.335
115,0.0,1.0,2.0,0.0,69.0,3,0,109.71
116,0.0,1.0,2.0,0.0,69.0,4,0,399.277777777778
118,0.0,1.0,2.0,0.0,70.0,1,2,412.525
119,0.0,1.0,2.0,0.0,70.0,1,3,455.616666666667
120,0.0,1.0,2.0,0.0,70.0,2,0,1013.485
121,0.0,1.0,2.0,0.0,70.0,3,0,101.765
122,0.0,1.0,2.0,0.0,70.0,3,2,94.635
124,0.0,1.0,2.0,0.0,70.0,4,0,348.155555555556
127,0.0,1.0,2.0,0.0,71.0,2,0,1123.56
128,0.0,1.0,2.0,0.0,72.0,2,0,1087.23
129,0.0,1.0,2.0,0.0,73.0,2,0,1260.775
130,0.0,1.0,2.0,0.0,74.0,2,0,1203.43
132,0.0,1.0,2.0,0.0,76.0,2,0,979.395
134,0.0,1.0,2.0,0.0,78.0,2,0,1113.075
135,0.0,1.0,2.0,0.0,79.0,2,0,1276.795
137,0.0,1.0,2.0,0.0,80.0,2,2,312.645
138,0.0,1.0,2.0,0.0,80.0,2,3,120.82
139,0.0,1.0,2.0,1.0,59.0,1,0,665.22619047619
142,0.0,1.0,2.0,1.0,59.0,6,0,256.542857142857
143,0.0,1.0,2.0,1.0,60.0,1,0,616.916666666667
144,0.0,1.0,2.0,1.0,60.0,2,0,1300.96428571429
145,0.0,1.0,2.0,1.0,60.0,4,0,552.861111111111
147,0.0,1.0,2.0,1.0,60.0,6,2,94.5571428571429
148,0.0,1.0,2.0,1.0,60.0,6,3,249.078571428571
149,0.0,1.0,2.0,1.0,60.0,6,4,228.842857142857
150,0.0,1.0,2.0,1.0,61.0,1,0,640.511904761905
151,0.0,1.0,2.0,1.0,61.0,2,0,1411.16428571429
152,0.0,1.0,2.0,1.0,61.0,4,0,565.703703703704
154,0.0,1.0,2.0,1.0,62.0,2,0,1390.74285714286
158,0.0,1.0,2.0,1.0,63.0,4,0,571.805555555556
