row_id,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
1,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576
10,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243672
12,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026
15,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.908319812
20,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.836714204
26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506
27,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856
35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.407950056
36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.079769452
39,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.251958604
42,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.995383608
44,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.542997428
47,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.759063216
49,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456
57,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.131420144
63,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.655112244
74,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.0,28.99936056
82,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.09966436
85,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.59946448
97,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.69846928
116,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28.0,61.09446836
119,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28.0,61.79773388
121,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28.0,68.29949256
125,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.3991368
128,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.4994406
135,439.0,177.0,0.0,186.0,11.1,884.9,707.9,28.0,65.99664272
136,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.4978818
141,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
142,425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.90037588
144,475.0,118.8,0.0,181.1,8.9,852.1,781.5,56.0,72.29845336
146,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
149,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
153,323.7,282.8,0.0,183.8,10.3,942.7,659.9,56.0,80.19984832
158,439.0,177.0,0.0,186.0,11.1,884.9,707.9,56.0,71.69860924
161,337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0,59.89478012
166,375.0,93.8,0.0,126.6,23.4,852.1,992.6,91.0,62.5009994
168,469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.69886904
173,318.8,212.5,0.0,155.7,14.3,852.1,880.4,91.0,68.09954452
174,401.8,94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.497622
176,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91.0,56.49566344
180,439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.29819356
181,389.9,189.0,0.0,145.9,22.0,944.7,755.8,91.0,82.5992248
186,222.36,0.0,96.67,189.29,4.46,967.08,870.32,28.0,24.8900836
188,222.36,0.0,96.67,189.29,4.46,967.08,870.32,100.0,40.7135578
193,233.81,0.0,94.58,197.89,4.567,947.04,852.16,100.0,34.55653712
199,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,3.0,15.04436632
208,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100.0,39.6103962
209,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3.0,10.0318758
225,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0,17.8229546
239,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3.0,13.35515012
244,238.05,0.0,94.11,186.66,7.0,949.91,847.01,3.0,19.93275116
245,238.05,0.0,94.11,186.66,7.0,949.91,847.01,14.0,25.68987576
250,250.0,0.0,95.69,187.42,5.53,956.86,861.17,14.0,24.91766264
259,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3.0,13.33446584
260,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14.0,25.3727168
261,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28.0,37.404073
263,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100.0,47.73931824
269,231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3.0,15.43736764
274,251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,17.22311048
280,251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14.0,24.42813468
289,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3.0,7.31534036
291,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28.0,31.2677366
293,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100.0,48.67011084
294,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3.0,7.39807748
298,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100.0,48.15300384
300,290.35,0.0,96.18,168.08,9.41,961.18,865.0,14.0,34.67374804
304,277.05,0.0,97.39,160.6,11.83,973.9,875.61,3.0,23.13881456
307,277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,51.03501352
310,295.71,0.0,95.64,171.54,8.87,955.14,859.2,14.0,35.2322236
313,295.71,0.0,95.64,171.54,8.87,955.14,859.2,100.0,52.04164848
317,251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56.0,44.14025352
321,249.1,0.0,98.75,158.11,12.8,987.76,889.01,28.0,30.84715624
325,252.31,0.0,98.75,146.25,14.17,987.76,889.01,14.0,42.29245784
326,252.31,0.0,98.75,146.25,14.17,987.76,889.01,28.0,50.60064364
334,275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3.0,23.80071152
336,275.07,0.0,121.35,159.48,9.9,1053.6,777.5,28.0,51.3314882
338,275.07,0.0,121.35,159.48,9.9,1053.6,777.5,100.0,58.60546
339,297.16,0.0,117.54,174.8,9.52,1022.8,753.45,3.0,21.91154728
348,213.74,0.0,174.74,154.79,10.16,1053.5,776.35,100.0,50.07664188
350,213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14.0,33.70158688
352,213.5,0.0,174.24,154.61,11.66,1052.3,775.48,56.0,51.4349096
355,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14.0,47.7117392
