row_id,class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
5,C,A,O,1,2.0,1,1,2,1,1.0,0.0
8,C,A,O,1,2.0,1,1,2,1,1.0,1.0
10,C,A,O,1,2.0,1,1,2,1,1.0,0.0
13,C,S,O,2,2.0,1,1,2,1,1.0,0.0
15,B,X,O,1,2.0,1,1,2,1,1.0,0.0
18,B,X,O,1,2.0,1,1,2,1,1.0,0.0
35,B,X,O,1,2.0,1,1,2,1,1.0,0.0
41,B,X,O,1,2.0,1,1,2,1,1.0,0.0
46,H,R,X,1,2.0,1,1,2,1,1.0,0.0
48,D,A,O,2,3.0,3,2,2,1,1.0,2.0
53,D,A,I,2,3.0,1,2,2,1,1.0,0.0
54,E,A,I,2,3.0,1,2,2,1,1.0,4.0
59,B,X,O,1,2.0,1,1,2,1,1.0,0.0
61,E,A,I,2,3.0,3,2,2,1,1.0,6.0
62,H,S,X,1,1.0,1,1,1,1,1.0,0.0
64,D,S,O,2,3.0,2,1,2,1,1.0,1.0
73,C,S,O,1,2.0,1,1,2,1,1.0,0.0
89,B,X,O,1,2.0,1,1,2,1,1.0,0.0
107,D,A,I,2,3.0,1,2,2,1,1.0,3.0
109,E,A,I,2,3.0,1,2,2,1,1.0,0.0
114,B,X,O,1,2.0,1,1,2,1,1.0,0.0
115,E,S,I,2,2.0,1,2,2,1,1.0,0.0
126,E,S,I,1,2.0,1,2,2,1,1.0,0.0
129,E,S,O,1,1.0,1,2,2,1,1.0,0.0
131,C,S,O,2,2.0,1,1,2,1,1.0,1.0
139,E,S,I,1,2.0,1,2,2,1,1.0,0.0
148,E,S,O,1,2.0,1,2,2,1,1.0,0.0
149,C,S,O,2,2.0,1,1,2,1,1.0,0.0
155,E,R,C,2,3.0,1,1,2,1,1.0,0.0
158,C,S,O,1,2.0,1,1,2,1,1.0,0.0
162,B,X,O,1,2.0,1,1,2,1,1.0,0.0
172,E,R,O,1,3.0,1,2,2,2,1.0,0.0
177,H,S,X,1,1.0,1,1,1,1,1.0,0.0
205,C,S,O,1,2.0,1,1,2,1,1.0,0.0
214,H,S,X,2,2.0,1,1,2,1,1.0,0.0
218,C,S,I,2,2.0,1,2,2,1,1.0,0.0
219,D,A,O,2,3.0,1,1,2,1,1.0,0.0
220,C,S,O,1,2.0,1,1,2,1,1.0,3.0
231,F,K,I,2,3.0,1,2,2,2,1.0,3.0
236,D,A,O,2,3.0,1,1,2,1,1.0,0.0
239,B,X,O,1,2.0,1,1,2,1,1.0,0.0
242,F,K,I,2,2.0,3,2,2,1,1.0,0.0
247,D,A,O,2,3.0,1,1,2,1,1.0,0.0
249,B,X,O,1,2.0,1,1,2,1,1.0,0.0
256,C,R,O,1,2.0,1,2,2,1,1.0,1.0
269,H,A,X,1,3.0,1,1,2,1,1.0,0.0
270,D,S,I,1,2.0,1,2,2,1,1.0,0.0
275,H,A,X,1,2.0,1,2,1,1,1.0,0.0
276,H,R,X,1,2.0,1,1,2,1,1.0,0.0
281,B,X,O,2,1.0,1,2,2,1,1.0,0.0
285,B,X,O,1,2.0,1,1,2,1,1.0,0.0
286,C,R,O,1,1.0,1,1,2,1,1.0,0.0
287,C,R,O,1,2.0,1,2,2,1,1.0,0.0
297,C,S,O,2,2.0,3,2,2,1,1.0,1.0
299,C,R,O,1,2.0,1,2,2,1,1.0,0.0
308,B,X,O,1,2.0,1,1,2,1,1.0,0.0
311,C,R,O,1,1.0,1,1,2,1,1.0,0.0
313,E,A,I,2,3.0,1,2,2,1,1.0,1.0
317,C,S,O,1,2.0,1,1,2,1,1.0,1.0
318,H,S,X,2,2.0,1,2,2,1,1.0,0.0
322,E,A,I,2,2.0,1,2,2,1,1.0,0.0
323,D,R,I,2,3.0,2,2,2,1,1.0,0.0
326,C,A,O,1,2.0,1,2,2,1,1.0,0.0
327,C,R,O,1,2.0,1,2,2,1,1.0,0.0
336,C,R,O,1,2.0,1,2,2,1,1.0,0.0
344,C,A,O,1,2.0,1,2,2,1,1.0,0.0
346,C,R,O,1,1.0,1,1,2,1,1.0,0.0
347,C,R,O,1,1.0,1,1,2,1,1.0,0.0
349,C,R,O,1,2.0,1,2,2,1,1.0,0.0
357,H,R,X,1,2.0,1,1,2,1,1.0,0.0
359,H,R,X,1,2.0,1,1,2,1,1.0,0.0
363,B,X,O,1,2.0,1,1,2,1,1.0,0.0
365,B,X,O,1,2.0,1,1,2,1,1.0,0.0
387,C,S,O,2,2.0,2,1,2,1,1.0,0.0
389,B,X,O,1,2.0,1,1,2,1,1.0,0.0
390,B,X,O,1,2.0,1,1,2,1,1.0,0.0
394,D,A,I,2,2.0,3,2,2,1,1.0,0.0
400,B,X,O,1,2.0,1,1,2,1,1.0,0.0
409,C,S,O,1,2.0,1,1,2,1,1.0,0.0
419,B,X,O,1,2.0,1,1,2,1,1.0,0.0
431,H,R,X,1,2.0,1,1,2,1,1.0,0.0
432,E,A,C,1,3.0,1,2,2,1,1.0,0.0
435,H,S,X,2,2.0,1,1,2,1,1.0,0.0
440,D,S,I,1,3.0,1,2,2,1,1.0,1.0
451,B,X,O,1,2.0,1,1,2,1,1.0,0.0
452,E,A,I,2,3.0,1,2,2,1,1.0,2.0
458,D,S,I,1,3.0,1,2,2,1,1.0,0.0
465,E,A,I,2,2.0,1,2,2,1,1.0,3.0
467,B,X,O,1,2.0,1,1,2,1,1.0,0.0
471,D,S,O,1,1.0,1,2,2,1,1.0,0.0
481,D,A,I,2,3.0,1,2,2,1,1.0,0.0
489,E,A,C,2,2.0,1,2,2,1,1.0,0.0
490,H,A,X,1,2.0,1,2,1,1,1.0,0.0
491,D,A,C,2,2.0,3,2,2,1,1.0,0.0
492,E,S,I,1,2.0,1,2,2,1,1.0,0.0
499,C,A,O,1,2.0,1,2,2,1,1.0,0.0
500,D,A,C,1,2.0,1,2,2,1,1.0,0.0
506,D,S,I,1,3.0,1,2,2,1,1.0,0.0
520,C,R,O,1,2.0,1,2,2,1,1.0,0.0
521,E,A,I,2,3.0,3,2,2,1,1.0,1.0
529,C,R,O,1,2.0,1,2,2,1,1.0,0.0
541,E,S,I,2,2.0,1,2,2,1,1.0,3.0
547,B,X,O,1,2.0,1,1,2,1,1.0,0.0
550,E,S,I,2,2.0,1,2,2,1,1.0,0.0
551,C,S,O,2,2.0,1,1,2,1,1.0,0.0
565,C,S,O,1,2.0,1,1,2,1,1.0,0.0
572,H,R,X,1,2.0,1,1,2,1,1.0,0.0
580,C,S,O,1,2.0,1,1,2,1,1.0,0.0
584,C,S,O,1,2.0,1,1,2,1,1.0,1.0
601,H,R,X,1,2.0,1,1,2,1,1.0,0.0
608,F,H,O,1,2.0,1,1,2,1,1.0,0.0
611,C,S,O,1,2.0,1,1,2,1,1.0,0.0
612,H,R,X,1,2.0,1,1,2,1,1.0,0.0
615,D,S,I,1,1.0,1,2,2,1,1.0,0.0
626,C,S,O,1,2.0,1,1,2,1,1.0,0.0
629,C,S,O,1,2.0,1,1,2,1,1.0,0.0
633,C,R,O,1,2.0,1,2,2,1,1.0,0.0
650,C,S,O,1,2.0,1,1,2,1,1.0,0.0
655,D,A,I,2,3.0,1,2,2,1,1.0,0.0
663,D,S,I,1,2.0,1,2,2,1,1.0,0.0
665,B,X,O,1,2.0,1,1,2,1,1.0,0.0
668,H,R,X,1,2.0,1,1,2,1,1.0,0.0
670,F,R,I,1,2.0,1,2,2,1,1.0,1.0
676,H,R,X,1,2.0,1,1,2,1,1.0,0.0
679,F,K,I,1,2.0,1,2,2,1,1.0,1.0
683,H,R,X,1,2.0,1,1,2,1,1.0,0.0
686,E,K,I,2,2.0,1,2,2,1,1.0,2.0
687,F,H,O,1,3.0,1,2,2,1,1.0,0.0
692,F,K,I,1,2.0,1,2,2,1,1.0,4.0
696,H,R,X,1,2.0,1,1,2,1,1.0,0.0
703,H,R,X,1,2.0,1,1,2,1,1.0,0.0
713,E,H,O,2,2.0,2,2,2,1,1.0,0.0
715,H,R,X,1,2.0,1,1,2,1,1.0,0.0
725,D,S,I,1,3.0,1,2,2,1,1.0,0.0
732,B,X,O,1,2.0,1,1,2,1,1.0,0.0
733,B,X,O,1,2.0,1,1,2,1,1.0,0.0
735,E,S,O,1,1.0,1,2,2,1,1.0,0.0
741,H,R,X,2,2.0,1,2,2,1,1.0,0.0
744,H,R,X,1,2.0,1,1,2,1,1.0,0.0
745,B,X,O,1,2.0,1,1,2,1,1.0,0.0
751,C,A,O,1,2.0,1,2,2,1,1.0,0.0
758,H,A,X,1,3.0,1,1,2,1,1.0,0.0
764,C,A,O,1,2.0,1,2,2,1,1.0,0.0
774,C,S,O,1,2.0,1,1,2,1,1.0,0.0
778,H,R,X,1,2.0,1,1,2,1,1.0,0.0
781,C,S,O,2,2.0,1,1,2,1,1.0,0.0
786,H,R,X,1,2.0,1,1,2,1,1.0,0.0
801,C,S,O,2,2.0,1,1,2,1,1.0,0.0
803,C,S,O,1,2.0,1,1,2,1,1.0,0.0
809,B,X,O,1,2.0,1,1,2,1,1.0,0.0
839,D,S,O,2,2.0,2,2,2,1,1.0,1.0
845,E,S,O,1,2.0,1,2,2,1,1.0,0.0
848,C,S,O,2,2.0,3,2,2,1,1.0,0.0
857,H,S,X,1,1.0,2,2,2,1,1.0,0.0
867,C,S,O,1,2.0,1,1,2,1,1.0,0.0
868,C,S,O,1,2.0,1,1,2,1,1.0,0.0
874,B,X,O,1,2.0,1,1,2,1,1.0,1.0
903,C,S,O,2,2.0,2,1,2,1,1.0,0.0
913,C,S,O,1,2.0,1,1,2,1,1.0,0.0
920,H,R,X,1,2.0,1,1,2,1,1.0,0.0
921,E,A,C,2,2.0,1,2,2,1,1.0,0.0
927,C,A,O,2,2.0,3,2,2,1,1.0,0.0
938,C,A,O,1,2.0,1,2,2,1,1.0,0.0
954,H,R,X,1,2.0,1,1,2,1,1.0,0.0
958,E,K,C,2,2.0,3,2,2,2,1.0,0.0
959,F,K,C,1,3.0,1,2,2,2,1.0,0.0
968,D,S,O,1,1.0,1,2,2,1,1.0,0.0
979,H,S,X,2,2.0,1,2,2,1,1.0,0.0
980,E,K,C,2,2.0,3,2,2,2,1.0,2.0
982,E,K,C,2,2.0,3,2,2,2,1.0,0.0
1039,C,S,O,1,2.0,1,1,2,1,1.0,0.0
1052,E,A,I,2,2.0,1,2,2,1,1.0,0.0
1054,H,S,X,1,1.0,1,1,1,1,1.0,0.0
1059,H,S,X,2,2.0,1,1,2,1,1.0,0.0
1062,H,S,X,2,2.0,1,1,2,1,1.0,0.0
1064,H,R,X,1,2.0,1,1,2,1,1.0,0.0
