row_id,class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
0,H,A,X,1,3.0,1,1,1,1,1.0,0.0
1,D,R,O,1,3.0,1,1,2,1,1.0,0.0
2,C,S,O,1,3.0,1,1,2,1,1.0,0.0
3,H,R,X,1,2.0,1,1,1,1,1.0,0.0
4,H,S,X,1,1.0,1,1,2,1,1.0,0.0
6,B,X,O,1,3.0,1,1,2,1,1.0,0.0
7,C,A,O,1,3.0,1,1,2,1,1.0,0.0
9,B,X,O,1,3.0,1,1,2,1,1.0,0.0
11,B,X,O,1,3.0,1,1,2,1,1.0,0.0
12,B,X,I,1,2.0,1,1,2,1,1.0,0.0
14,B,X,O,1,3.0,1,1,2,1,1.0,0.0
17,H,S,X,1,3.0,1,1,2,1,1.0,0.0
21,B,X,O,1,3.0,1,1,2,1,1.0,0.0
22,B,X,O,2,2.0,1,2,2,1,1.0,0.0
25,B,X,O,1,3.0,1,1,2,1,1.0,0.0
26,D,A,I,2,3.0,1,1,2,1,1.0,2.0
27,B,X,O,1,3.0,1,1,2,1,1.0,0.0
28,D,R,O,1,3.0,1,1,2,1,1.0,0.0
29,B,X,O,1,3.0,1,1,2,1,1.0,0.0
30,B,X,O,1,1.0,1,2,2,1,1.0,0.0
31,B,X,O,1,1.0,1,1,2,1,1.0,0.0
32,C,R,I,2,1.0,1,2,2,1,1.0,0.0
33,B,X,O,1,3.0,1,1,2,1,1.0,0.0
37,E,A,C,1,3.0,1,1,2,1,1.0,3.0
38,H,A,X,1,2.0,1,1,1,1,1.0,1.0
40,B,X,O,1,3.0,1,1,2,1,1.0,0.0
43,E,A,I,2,2.0,1,1,2,1,1.0,8.0
44,D,A,I,1,3.0,1,2,2,1,1.0,0.0
45,B,X,O,1,3.0,1,1,2,1,1.0,0.0
47,C,R,O,1,2.0,1,1,2,1,1.0,0.0
49,E,S,O,2,3.0,1,2,2,1,1.0,5.0
51,E,S,I,2,3.0,1,2,2,1,1.0,0.0
56,D,A,O,1,3.0,1,1,2,1,1.0,1.0
57,D,R,O,1,3.0,1,1,2,1,1.0,1.0
58,D,S,O,1,3.0,1,2,2,1,1.0,0.0
60,D,A,I,2,2.0,1,2,2,1,1.0,0.0
63,D,S,I,2,3.0,1,1,2,1,1.0,0.0
65,D,R,O,1,3.0,1,1,2,1,1.0,0.0
66,D,S,O,1,3.0,1,2,2,1,1.0,0.0
67,D,S,O,1,3.0,1,1,2,1,1.0,0.0
68,D,S,O,1,2.0,1,2,2,1,1.0,0.0
71,D,A,O,1,2.0,1,2,2,1,1.0,2.0
72,C,S,I,1,3.0,1,1,2,1,1.0,1.0
74,B,X,O,1,3.0,1,1,2,1,1.0,1.0
75,B,X,O,1,3.0,1,1,2,1,1.0,0.0
76,D,S,O,1,2.0,1,2,2,1,1.0,1.0
78,D,S,O,1,2.0,1,2,2,1,1.0,0.0
79,F,K,C,2,3.0,1,2,2,2,1.0,0.0
80,D,A,I,1,3.0,1,2,2,1,1.0,0.0
81,C,R,O,1,2.0,1,1,2,1,1.0,0.0
83,B,X,O,1,3.0,1,1,2,1,1.0,1.0
84,D,S,O,1,2.0,1,2,2,1,1.0,0.0
85,H,A,X,1,2.0,1,2,2,1,1.0,0.0
86,D,A,O,1,3.0,1,2,2,1,1.0,0.0
87,F,K,C,2,2.0,1,2,2,1,1.0,4.0
88,D,S,I,2,2.0,1,2,2,1,1.0,0.0
91,B,X,O,1,3.0,1,1,2,1,1.0,1.0
92,B,X,O,1,3.0,1,1,2,1,1.0,0.0
93,D,S,O,1,2.0,1,1,2,1,1.0,3.0
94,H,R,X,1,2.0,1,2,2,1,1.0,0.0
95,H,A,X,1,2.0,1,2,2,1,1.0,0.0
96,C,S,O,1,2.0,1,2,2,1,1.0,0.0
97,F,A,I,1,2.0,1,2,2,2,1.0,1.0
98,D,S,O,1,2.0,1,2,2,1,1.0,1.0
99,C,R,O,1,2.0,1,1,2,1,1.0,0.0
100,D,A,C,2,3.0,1,1,2,1,1.0,2.0
101,B,X,O,1,1.0,1,1,2,1,1.0,0.0
102,E,A,I,2,3.0,1,1,2,1,1.0,2.0
103,H,A,X,1,2.0,1,2,2,1,1.0,0.0
105,F,A,C,2,3.0,1,2,2,2,1.0,2.0
106,D,S,O,1,2.0,1,2,2,1,1.0,0.0
108,B,X,O,1,3.0,1,1,2,1,1.0,0.0
110,D,S,O,2,3.0,1,2,2,1,1.0,0.0
113,D,A,I,2,2.0,1,2,2,1,1.0,0.0
116,H,S,X,1,2.0,1,1,1,1,1.0,0.0
117,F,A,C,2,2.0,1,2,2,1,1.0,1.0
120,E,A,I,1,2.0,1,2,2,1,1.0,1.0
121,B,X,O,1,3.0,1,1,2,1,1.0,0.0
122,C,S,O,1,3.0,1,1,2,1,1.0,1.0
127,E,A,O,1,3.0,1,1,2,1,1.0,2.0
128,H,S,X,1,2.0,1,1,1,1,1.0,0.0
130,E,S,I,2,3.0,1,2,2,1,1.0,0.0
132,E,S,O,1,2.0,1,1,2,1,1.0,0.0
133,E,A,I,1,2.0,1,2,2,1,1.0,0.0
135,E,A,O,1,3.0,1,1,2,1,1.0,0.0
136,H,H,X,1,2.0,1,1,1,1,1.0,0.0
137,B,X,O,1,3.0,1,1,2,1,1.0,0.0
140,C,S,O,2,3.0,1,1,2,1,1.0,0.0
141,E,S,O,1,3.0,1,1,2,1,1.0,0.0
