row_id,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
2,7.0,10.0,8.0,7.0,4.0,8.0,8.0,5.0,10.0,11.0,2.0,8.0,2.0,5.0,5.0,10.0,S
9,1.0,0.0,2.0,1.0,1.0,5.0,7.0,8.0,6.0,7.0,6.0,6.0,2.0,8.0,3.0,8.0,D
37,3.0,4.0,4.0,7.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0,L
45,3.0,4.0,4.0,3.0,2.0,5.0,12.0,3.0,6.0,11.0,9.0,4.0,1.0,11.0,1.0,5.0,T
50,4.0,8.0,6.0,6.0,8.0,8.0,7.0,5.0,3.0,7.0,7.0,7.0,6.0,10.0,8.0,9.0,B
134,4.0,8.0,4.0,6.0,4.0,7.0,7.0,7.0,4.0,10.0,6.0,8.0,3.0,8.0,3.0,6.0,O
153,1.0,3.0,0.0,4.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
184,4.0,8.0,5.0,6.0,5.0,8.0,8.0,3.0,8.0,7.0,7.0,7.0,0.0,8.0,11.0,8.0,Z
208,9.0,13.0,6.0,7.0,4.0,5.0,8.0,6.0,4.0,10.0,8.0,9.0,5.0,10.0,5.0,8.0,O
211,3.0,7.0,6.0,5.0,2.0,9.0,10.0,2.0,7.0,3.0,12.0,8.0,2.0,11.0,2.0,9.0,Y
212,3.0,9.0,4.0,7.0,3.0,6.0,8.0,8.0,7.0,10.0,7.0,12.0,2.0,10.0,4.0,10.0,C
214,2.0,4.0,5.0,3.0,2.0,7.0,8.0,2.0,9.0,11.0,7.0,6.0,1.0,8.0,5.0,7.0,Z
234,3.0,5.0,4.0,7.0,1.0,9.0,14.0,0.0,6.0,5.0,11.0,8.0,0.0,8.0,0.0,8.0,T
247,4.0,9.0,6.0,6.0,5.0,6.0,8.0,8.0,5.0,6.0,5.0,12.0,5.0,8.0,7.0,4.0,U
317,3.0,8.0,4.0,6.0,2.0,7.0,7.0,0.0,6.0,13.0,6.0,8.0,0.0,8.0,1.0,8.0,I
330,5.0,10.0,7.0,7.0,8.0,8.0,5.0,8.0,4.0,8.0,6.0,8.0,3.0,9.0,8.0,3.0,A
385,5.0,11.0,7.0,8.0,4.0,8.0,9.0,6.0,10.0,5.0,6.0,6.0,0.0,8.0,9.0,7.0,S
433,2.0,7.0,3.0,4.0,2.0,7.0,6.0,14.0,2.0,7.0,8.0,8.0,3.0,8.0,0.0,8.0,H
439,5.0,10.0,6.0,8.0,4.0,7.0,7.0,4.0,4.0,7.0,6.0,7.0,3.0,8.0,4.0,8.0,X
443,3.0,9.0,5.0,7.0,4.0,4.0,11.0,6.0,5.0,11.0,10.0,5.0,2.0,10.0,3.0,5.0,F
458,2.0,1.0,3.0,3.0,2.0,7.0,7.0,5.0,7.0,7.0,6.0,9.0,2.0,8.0,5.0,10.0,E
466,5.0,9.0,8.0,8.0,7.0,8.0,6.0,2.0,3.0,8.0,3.0,8.0,6.0,5.0,8.0,12.0,K
468,3.0,4.0,5.0,3.0,2.0,8.0,9.0,2.0,7.0,13.0,5.0,5.0,2.0,9.0,3.0,8.0,F
493,3.0,2.0,5.0,3.0,4.0,8.0,6.0,6.0,4.0,7.0,7.0,9.0,9.0,5.0,2.0,8.0,M
494,3.0,8.0,5.0,6.0,4.0,7.0,7.0,3.0,8.0,5.0,6.0,10.0,3.0,7.0,6.0,8.0,X
501,4.0,8.0,5.0,6.0,4.0,8.0,7.0,5.0,6.0,8.0,5.0,8.0,3.0,6.0,6.0,11.0,R
542,7.0,9.0,6.0,4.0,5.0,9.0,7.0,3.0,5.0,9.0,4.0,7.0,7.0,5.0,7.0,8.0,B
560,5.0,9.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,9.0,8.0,3.0,9.0,6.0,9.0,T
571,4.0,10.0,5.0,7.0,5.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,2.0,8.0,7.0,10.0,B
576,3.0,11.0,4.0,8.0,2.0,7.0,7.0,4.0,14.0,10.0,6.0,8.0,0.0,8.0,8.0,8.0,Z
587,2.0,3.0,2.0,2.0,1.0,4.0,11.0,3.0,6.0,11.0,10.0,4.0,1.0,11.0,2.0,5.0,Y
601,2.0,5.0,4.0,4.0,2.0,7.0,4.0,1.0,8.0,8.0,2.0,10.0,0.0,7.0,2.0,8.0,L
631,6.0,10.0,8.0,7.0,5.0,8.0,8.0,3.0,7.0,10.0,5.0,7.0,2.0,8.0,5.0,8.0,S
633,0.0,7.0,0.0,4.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
671,4.0,7.0,5.0,5.0,3.0,7.0,7.0,4.0,8.0,11.0,8.0,8.0,2.0,10.0,5.0,6.0,S
706,3.0,3.0,4.0,1.0,1.0,4.0,10.0,2.0,7.0,10.0,10.0,5.0,1.0,10.0,3.0,4.0,Y
714,5.0,11.0,6.0,8.0,8.0,8.0,7.0,4.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,10.0,B
732,3.0,2.0,5.0,4.0,3.0,7.0,6.0,6.0,6.0,6.0,6.0,10.0,2.0,9.0,4.0,9.0,G
768,2.0,1.0,2.0,1.0,2.0,8.0,8.0,6.0,6.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,H
782,3.0,8.0,5.0,6.0,5.0,8.0,7.0,7.0,4.0,7.0,6.0,9.0,5.0,7.0,7.0,4.0,A
848,7.0,13.0,6.0,7.0,5.0,8.0,6.0,3.0,5.0,8.0,5.0,9.0,6.0,9.0,6.0,7.0,R
868,3.0,5.0,4.0,6.0,4.0,9.0,8.0,7.0,2.0,4.0,7.0,11.0,3.0,9.0,6.0,10.0,Q
887,2.0,3.0,3.0,2.0,2.0,7.0,6.0,6.0,3.0,7.0,7.0,8.0,5.0,5.0,1.0,8.0,M
929,6.0,9.0,8.0,7.0,7.0,7.0,8.0,6.0,5.0,6.0,5.0,6.0,4.0,9.0,7.0,6.0,B
973,3.0,3.0,4.0,2.0,1.0,6.0,8.0,6.0,7.0,7.0,10.0,9.0,3.0,10.0,1.0,8.0,U
978,4.0,11.0,6.0,8.0,3.0,4.0,4.0,4.0,9.0,2.0,0.0,6.0,0.0,7.0,1.0,5.0,L
984,3.0,7.0,4.0,5.0,3.0,6.0,5.0,9.0,7.0,6.0,7.0,7.0,2.0,9.0,8.0,9.0,B
1007,5.0,10.0,6.0,7.0,4.0,6.0,7.0,7.0,7.0,9.0,8.0,11.0,2.0,8.0,5.0,9.0,G
1022,6.0,11.0,9.0,8.0,10.0,7.0,5.0,5.0,3.0,8.0,8.0,9.0,9.0,9.0,6.0,8.0,V
1078,3.0,9.0,4.0,7.0,2.0,7.0,7.0,6.0,8.0,5.0,6.0,7.0,0.0,8.0,9.0,7.0,S
1088,5.0,8.0,5.0,9.0,7.0,8.0,6.0,7.0,4.0,9.0,7.0,8.0,4.0,9.0,5.0,7.0,Q
1106,5.0,10.0,7.0,7.0,6.0,7.0,7.0,8.0,4.0,7.0,6.0,7.0,3.0,9.0,8.0,9.0,P
1110,3.0,6.0,4.0,4.0,3.0,5.0,8.0,8.0,7.0,8.0,7.0,6.0,2.0,8.0,3.0,8.0,D
1116,3.0,8.0,4.0,6.0,4.0,8.0,7.0,7.0,5.0,7.0,7.0,9.0,2.0,9.0,8.0,8.0,S
1128,4.0,8.0,5.0,8.0,3.0,8.0,6.0,9.0,7.0,7.0,4.0,9.0,3.0,8.0,4.0,8.0,Q
1129,4.0,9.0,4.0,6.0,2.0,4.0,12.0,2.0,8.0,12.0,10.0,5.0,0.0,10.0,2.0,5.0,T
1181,2.0,5.0,4.0,4.0,3.0,7.0,7.0,4.0,3.0,6.0,7.0,8.0,3.0,8.0,1.0,7.0,U
1189,5.0,11.0,7.0,8.0,4.0,6.0,11.0,2.0,6.0,13.0,7.0,4.0,1.0,10.0,2.0,7.0,F
1195,2.0,5.0,3.0,4.0,2.0,8.0,7.0,7.0,4.0,9.0,4.0,8.0,2.0,8.0,2.0,8.0,O
1213,7.0,8.0,7.0,10.0,7.0,8.0,5.0,7.0,5.0,9.0,6.0,9.0,3.0,8.0,6.0,7.0,Q
1216,5.0,8.0,6.0,6.0,5.0,8.0,5.0,11.0,0.0,7.0,9.0,8.0,9.0,6.0,2.0,7.0,M
1237,3.0,3.0,5.0,2.0,2.0,8.0,6.0,2.0,6.0,10.0,5.0,10.0,3.0,8.0,3.0,9.0,K
1240,1.0,6.0,1.0,4.0,1.0,7.0,7.0,0.0,7.0,7.0,6.0,8.0,0.0,8.0,2.0,8.0,I
1248,4.0,10.0,5.0,7.0,4.0,8.0,10.0,0.0,8.0,6.0,11.0,8.0,0.0,10.0,1.0,8.0,T
1303,2.0,11.0,0.0,8.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
1308,2.0,1.0,3.0,2.0,2.0,7.0,6.0,6.0,5.0,6.0,6.0,10.0,2.0,9.0,4.0,9.0,G
1330,4.0,11.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,6.0,5.0,2.0,8.0,6.0,9.0,B
1354,6.0,10.0,8.0,7.0,4.0,6.0,11.0,2.0,6.0,14.0,6.0,3.0,1.0,10.0,2.0,7.0,F
1360,7.0,11.0,6.0,8.0,4.0,10.0,6.0,2.0,5.0,11.0,6.0,8.0,2.0,9.0,7.0,12.0,J
1390,3.0,5.0,3.0,6.0,3.0,9.0,6.0,6.0,3.0,8.0,6.0,11.0,3.0,9.0,5.0,8.0,Q
1403,3.0,4.0,5.0,3.0,2.0,7.0,7.0,1.0,8.0,10.0,6.0,8.0,2.0,8.0,3.0,7.0,X
