row_id,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
4,6.0,7.0,8.0,5.0,4.0,7.0,6.0,3.0,7.0,10.0,7.0,9.0,3.0,8.0,3.0,7.0,H
19,4.0,6.0,4.0,7.0,5.0,8.0,8.0,6.0,2.0,7.0,7.0,11.0,3.0,9.0,5.0,8.0,Q
27,2.0,5.0,4.0,4.0,3.0,9.0,6.0,4.0,6.0,10.0,4.0,6.0,2.0,8.0,3.0,8.0,D
41,0.0,0.0,0.0,1.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
82,7.0,10.0,5.0,5.0,2.0,6.0,8.0,6.0,8.0,11.0,7.0,11.0,2.0,8.0,5.0,9.0,C
104,3.0,8.0,5.0,6.0,3.0,7.0,12.0,4.0,6.0,7.0,11.0,8.0,2.0,12.0,1.0,8.0,T
192,8.0,15.0,7.0,9.0,3.0,6.0,10.0,3.0,8.0,13.0,6.0,6.0,2.0,8.0,5.0,4.0,T
193,7.0,12.0,6.0,6.0,3.0,7.0,8.0,2.0,7.0,11.0,6.0,6.0,2.0,9.0,6.0,5.0,F
194,5.0,11.0,6.0,8.0,6.0,6.0,7.0,9.0,7.0,6.0,5.0,5.0,2.0,8.0,3.0,7.0,D
205,6.0,10.0,8.0,7.0,5.0,4.0,8.0,7.0,8.0,9.0,11.0,11.0,3.0,9.0,1.0,8.0,U
209,3.0,7.0,5.0,5.0,5.0,5.0,7.0,3.0,6.0,7.0,6.0,12.0,2.0,10.0,8.0,6.0,E
245,3.0,5.0,4.0,8.0,6.0,8.0,9.0,3.0,1.0,8.0,7.0,6.0,4.0,10.0,5.0,8.0,P
287,2.0,1.0,3.0,2.0,2.0,7.0,8.0,4.0,5.0,6.0,5.0,7.0,2.0,6.0,5.0,8.0,R
306,2.0,8.0,3.0,6.0,2.0,8.0,7.0,0.0,7.0,13.0,6.0,8.0,0.0,8.0,1.0,8.0,I
309,3.0,3.0,4.0,4.0,1.0,5.0,8.0,6.0,9.0,6.0,7.0,11.0,1.0,7.0,4.0,9.0,C
314,3.0,1.0,5.0,3.0,3.0,7.0,11.0,2.0,2.0,7.0,9.0,8.0,7.0,11.0,0.0,8.0,W
318,3.0,6.0,3.0,4.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,5.0,0.0,8.0,0.0,8.0,L
334,4.0,8.0,6.0,6.0,4.0,7.0,10.0,2.0,3.0,7.0,9.0,8.0,8.0,11.0,1.0,8.0,W
335,4.0,11.0,4.0,8.0,5.0,3.0,9.0,5.0,10.0,7.0,6.0,14.0,0.0,8.0,6.0,8.0,E
340,5.0,11.0,8.0,8.0,13.0,8.0,5.0,6.0,3.0,7.0,6.0,8.0,14.0,10.0,4.0,9.0,W
354,5.0,11.0,6.0,8.0,8.0,7.0,8.0,4.0,5.0,6.0,7.0,9.0,7.0,7.0,8.0,7.0,T
384,5.0,9.0,7.0,6.0,4.0,7.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0,10.0,2.0,5.0,N
402,3.0,8.0,6.0,6.0,3.0,11.0,2.0,2.0,3.0,9.0,2.0,9.0,3.0,5.0,3.0,8.0,A
414,2.0,3.0,3.0,2.0,2.0,5.0,7.0,4.0,7.0,7.0,6.0,11.0,3.0,8.0,4.0,10.0,K
455,2.0,3.0,3.0,5.0,3.0,8.0,7.0,7.0,3.0,6.0,6.0,9.0,3.0,8.0,5.0,10.0,Q
460,2.0,3.0,3.0,2.0,1.0,8.0,2.0,2.0,1.0,6.0,2.0,8.0,2.0,7.0,2.0,7.0,A
498,4.0,9.0,5.0,8.0,5.0,6.0,8.0,4.0,6.0,7.0,6.0,9.0,3.0,9.0,9.0,10.0,L
510,3.0,7.0,5.0,5.0,6.0,7.0,6.0,4.0,3.0,6.0,5.0,10.0,6.0,8.0,6.0,10.0,G
511,2.0,3.0,3.0,1.0,2.0,9.0,6.0,3.0,6.0,10.0,4.0,6.0,2.0,8.0,2.0,9.0,D
512,6.0,11.0,8.0,9.0,8.0,7.0,7.0,8.0,4.0,8.0,5.0,8.0,4.0,8.0,10.0,1.0,A
558,3.0,4.0,4.0,3.0,2.0,7.0,7.0,6.0,4.0,9.0,6.0,8.0,2.0,8.0,2.0,8.0,O
559,1.0,3.0,2.0,2.0,1.0,7.0,8.0,1.0,7.0,13.0,6.0,8.0,0.0,8.0,1.0,7.0,I
561,3.0,1.0,4.0,3.0,3.0,8.0,6.0,6.0,4.0,7.0,7.0,8.0,7.0,6.0,2.0,7.0,M
677,7.0,15.0,6.0,8.0,5.0,11.0,4.0,4.0,6.0,10.0,5.0,7.0,3.0,9.0,7.0,12.0,Q
738,2.0,1.0,3.0,1.0,1.0,9.0,12.0,3.0,2.0,5.0,11.0,8.0,2.0,11.0,0.0,8.0,V
740,1.0,3.0,2.0,2.0,1.0,7.0,8.0,1.0,7.0,13.0,6.0,8.0,0.0,8.0,1.0,7.0,I
752,4.0,9.0,4.0,4.0,2.0,5.0,10.0,2.0,6.0,11.0,8.0,6.0,2.0,9.0,4.0,3.0,T
766,3.0,7.0,4.0,5.0,4.0,7.0,9.0,6.0,5.0,8.0,5.0,9.0,3.0,6.0,5.0,10.0,R
776,2.0,6.0,5.0,4.0,3.0,6.0,5.0,1.0,3.0,5.0,2.0,7.0,2.0,6.0,3.0,4.0,A
787,3.0,4.0,3.0,3.0,3.0,7.0,7.0,5.0,8.0,7.0,6.0,9.0,2.0,8.0,6.0,9.0,E
795,7.0,12.0,6.0,6.0,3.0,6.0,8.0,2.0,7.0,10.0,7.0,6.0,2.0,10.0,5.0,6.0,F
796,3.0,7.0,4.0,5.0,2.0,9.0,4.0,5.0,4.0,14.0,6.0,12.0,0.0,6.0,1.0,7.0,J
818,4.0,9.0,5.0,6.0,3.0,5.0,13.0,6.0,4.0,11.0,9.0,4.0,3.0,12.0,2.0,4.0,T
829,4.0,9.0,7.0,7.0,5.0,10.0,3.0,1.0,2.0,8.0,3.0,9.0,4.0,5.0,3.0,7.0,A
872,3.0,8.0,4.0,6.0,3.0,8.0,7.0,1.0,7.0,11.0,5.0,8.0,0.0,6.0,1.0,6.0,J
878,2.0,7.0,4.0,4.0,1.0,5.0,4.0,3.0,2.0,5.0,1.0,7.0,2.0,6.0,2.0,7.0,A
883,5.0,11.0,7.0,8.0,4.0,7.0,10.0,2.0,7.0,6.0,12.0,8.0,2.0,11.0,2.0,8.0,Y
898,2.0,7.0,3.0,4.0,1.0,7.0,14.0,0.0,6.0,7.0,11.0,8.0,0.0,8.0,0.0,8.0,T
912,5.0,12.0,5.0,6.0,4.0,10.0,5.0,4.0,6.0,11.0,4.0,8.0,3.0,8.0,8.0,11.0,Q
962,5.0,5.0,8.0,4.0,8.0,7.0,7.0,5.0,5.0,6.0,6.0,8.0,8.0,10.0,7.0,10.0,W
975,6.0,10.0,8.0,8.0,6.0,4.0,10.0,4.0,8.0,11.0,10.0,8.0,3.0,8.0,4.0,4.0,E
993,2.0,3.0,3.0,2.0,2.0,7.0,7.0,5.0,5.0,6.0,5.0,6.0,2.0,8.0,5.0,9.0,B
1071,4.0,8.0,5.0,6.0,4.0,7.0,8.0,7.0,4.0,10.0,7.0,9.0,3.0,8.0,3.0,7.0,O
1120,3.0,7.0,3.0,5.0,3.0,6.0,7.0,9.0,6.0,7.0,6.0,7.0,2.0,8.0,8.0,10.0,B
1122,5.0,5.0,7.0,4.0,4.0,7.0,6.0,5.0,5.0,9.0,5.0,9.0,3.0,6.0,5.0,6.0,O
1141,0.0,0.0,0.0,1.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
1144,5.0,10.0,5.0,7.0,2.0,3.0,11.0,4.0,6.0,12.0,12.0,6.0,1.0,11.0,2.0,6.0,Y
1175,4.0,10.0,5.0,8.0,4.0,5.0,11.0,3.0,7.0,11.0,9.0,4.0,0.0,10.0,4.0,7.0,P
1191,4.0,5.0,5.0,4.0,4.0,6.0,8.0,4.0,4.0,8.0,7.0,10.0,4.0,10.0,8.0,11.0,E
1204,3.0,6.0,4.0,4.0,2.0,6.0,11.0,2.0,6.0,14.0,6.0,4.0,1.0,10.0,2.0,8.0,F
1210,4.0,9.0,6.0,6.0,8.0,7.0,6.0,5.0,3.0,6.0,6.0,8.0,7.0,7.0,8.0,8.0,H
1236,4.0,6.0,6.0,4.0,5.0,8.0,6.0,3.0,5.0,6.0,7.0,8.0,3.0,9.0,8.0,9.0,X
1265,5.0,7.0,6.0,9.0,6.0,8.0,5.0,8.0,4.0,6.0,5.0,9.0,4.0,8.0,6.0,9.0,Q
1290,3.0,2.0,4.0,3.0,2.0,6.0,10.0,4.0,6.0,10.0,8.0,5.0,4.0,9.0,3.0,7.0,F
1334,7.0,11.0,7.0,6.0,4.0,7.0,7.0,3.0,6.0,10.0,6.0,9.0,6.0,10.0,3.0,8.0,K
1359,2.0,7.0,4.0,5.0,2.0,8.0,11.0,2.0,3.0,5.0,10.0,8.0,2.0,11.0,1.0,8.0,V
1371,5.0,11.0,6.0,8.0,3.0,7.0,7.0,15.0,1.0,7.0,7.0,8.0,3.0,8.0,0.0,8.0,H
1377,11.0,15.0,11.0,8.0,6.0,9.0,11.0,6.0,4.0,4.0,6.0,9.0,10.0,12.0,2.0,7.0,M
1399,5.0,11.0,6.0,8.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,11.0,3.0,8.0,3.0,9.0,H
1412,8.0,10.0,8.0,8.0,5.0,3.0,12.0,3.0,3.0,10.0,11.0,8.0,3.0,9.0,2.0,6.0,V
1421,3.0,3.0,4.0,4.0,2.0,7.0,12.0,3.0,6.0,7.0,11.0,8.0,2.0,11.0,1.0,8.0,T
1430,9.0,11.0,6.0,15.0,6.0,5.0,11.0,3.0,3.0,12.0,8.0,6.0,3.0,9.0,11.0,5.0,Z
1433,2.0,5.0,3.0,4.0,2.0,6.0,9.0,4.0,5.0,10.0,9.0,6.0,2.0,10.0,3.0,6.0,F
1459,3.0,5.0,6.0,4.0,3.0,9.0,7.0,1.0,9.0,10.0,4.0,7.0,2.0,8.0,3.0,8.0,X
1475,2.0,7.0,3.0,4.0,2.0,5.0,10.0,8.0,4.0,7.0,4.0,9.0,3.0,7.0,5.0,11.0,R
1533,2.0,4.0,4.0,3.0,2.0,7.0,2.0,2.0,2.0,7.0,2.0,8.0,2.0,6.0,3.0,7.0,A
1565,4.0,9.0,5.0,7.0,4.0,4.0,9.0,3.0,8.0,10.0,8.0,10.0,2.0,8.0,4.0,6.0,E
1585,4.0,11.0,5.0,8.0,3.0,8.0,6.0,0.0,7.0,13.0,6.0,9.0,2.0,7.0,3.0,8.0,I
1608,6.0,9.0,9.0,7.0,5.0,3.0,9.0,3.0,7.0,11.0,11.0,11.0,3.0,8.0,3.0,5.0,K
1630,5.0,7.0,6.0,9.0,6.0,8.0,7.0,6.0,3.0,8.0,7.0,9.0,3.0,9.0,6.0,9.0,Q
