suite,task,dataset,name,version,kind,target,rows,columns,symbolic_columns,missing_values,license,eligible,reason,data_url
99,3,3,kr-vs-kp,1,Supervised Classification,class,3196,37,37.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/3/kr-vs-kp.arff
99,6,6,letter,1,Supervised Classification,class,20000,17,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/6/letter.arff
99,11,11,balance-scale,1,Supervised Classification,class,625,5,1.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/11/balance-scale.arff
99,12,12,mfeat-factors,1,Supervised Classification,class,2000,217,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/12/mfeat-factors.arff
99,14,14,mfeat-fourier,1,Supervised Classification,class,2000,77,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/14/mfeat-fourier.arff
99,15,15,breast-w,1,Supervised Classification,Class,699,10,1.0,16.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/52350/breast-w.arff
99,16,16,mfeat-karhunen,1,Supervised Classification,class,2000,65,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/16/mfeat-karhunen.arff
99,18,18,mfeat-morphological,1,Supervised Classification,class,2000,7,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/18/mfeat-morphological.arff
99,22,22,mfeat-zernike,1,Supervised Classification,class,2000,48,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/22/mfeat-zernike.arff
99,23,23,cmc,1,Supervised Classification,Contraceptive_method_used,1473,10,8.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/23/cmc.arff
99,28,28,optdigits,1,Supervised Classification,class,5620,65,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/28/optdigits.arff
99,29,29,credit-approval,1,Supervised Classification,class,690,16,10.0,67.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/29/credit-approval.arff
99,31,31,credit-g,1,Supervised Classification,class,1000,21,14.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/31/credit-g.arff
99,32,32,pendigits,1,Supervised Classification,class,10992,17,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/32/pendigits.arff
99,37,37,diabetes,1,Supervised Classification,class,768,9,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/37/diabetes.arff
99,43,44,spambase,1,Supervised Classification,class,4601,58,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/44/spambase.arff
99,45,46,splice,1,Supervised Classification,Class,3190,61,61.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/46/splice.arff
99,49,50,tic-tac-toe,1,Supervised Classification,Class,958,10,10.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/50/tic-tac-toe.arff
99,53,54,vehicle,1,Supervised Classification,Class,846,19,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/54/vehicle.arff
99,219,151,electricity,1,Supervised Classification,class,45312,9,2.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/2419/electricity.arff
99,2074,182,satimage,1,Supervised Classification,class,6430,37,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/3619/satimage.arff
99,2079,188,eucalyptus,1,Supervised Classification,Utility,736,20,6.0,448.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/3625/eucalyptus.arff
99,3021,38,sick,1,Supervised Classification,Class,3772,30,23.0,6064.0,Public,False,license needs review,https://openml.org/data/v1/download/38/sick.arff
99,3022,307,vowel,2,Supervised Classification,Class,990,13,3.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/52210/vowel.arff
99,3481,300,isolet,1,Supervised Classification,class,7797,618,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/52405/isolet.arff
99,3549,458,analcatdata_authorship,1,Supervised Classification,Author,841,71,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/52570/analcatdata_authorship.arff
99,3560,469,analcatdata_dmft,1,Supervised Classification,Prevention,797,5,5.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/52581/analcatdata_dmft.arff
99,3573,554,mnist_784,1,Supervised Classification,class,70000,785,1.0,0.0,Public,False,row count outside laptop range; column count outside laptop range; license needs review,https://openml.org/data/v1/download/52667/mnist_784.arff
99,3902,1049,pc4,1,Supervised Classification,c,1458,38,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/53932/pc4.arff
99,3903,1050,pc3,1,Supervised Classification,c,1563,38,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/53933/pc3.arff
99,3904,1053,jm1,1,Supervised Classification,defects,10885,22,1.0,25.0,Public,False,license needs review,https://openml.org/data/v1/download/53936/jm1.arff
99,3913,1063,kc2,1,Supervised Classification,problems,522,22,1.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/53946/kc2.arff
99,3917,1067,kc1,1,Supervised Classification,defects,2109,22,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/53950/kc1.arff
99,3918,1068,pc1,1,Supervised Classification,defects,1109,22,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/53951/pc1.arff
99,7592,1590,adult,2,Supervised Classification,class,48842,15,9.0,6465.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/1595261/adult.arff
99,9910,4134,Bioresponse,1,Supervised Classification,target,3751,1777,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/1681097/Bioresponse.arff
99,9946,1510,wdbc,1,Supervised Classification,Class,569,31,1.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/1592318/wdbc.arff
99,9952,1489,phoneme,1,Supervised Classification,Class,5404,6,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/1592281/phoneme.arff
99,9957,1494,qsar-biodeg,1,Supervised Classification,Class,1055,42,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/1592286/qsar-biodeg.arff
99,9960,1497,wall-robot-navigation,1,Supervised Classification,Class,5456,25,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/1592289/wall-robot-navigation.arff
99,9964,1501,semeion,1,Supervised Classification,Class,1593,257,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/1592293/semeion.arff
99,9971,1480,ilpd,1,Supervised Classification,Class,583,11,2.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/1590565/ilpd.arff
99,9976,1485,madelon,1,Supervised Classification,Class,2600,501,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/1590986/madelon.arff
99,9977,1486,nomao,1,Supervised Classification,Class,34465,119,30.0,0.0,Public,False,row count outside laptop range; column count outside laptop range; license needs review,https://openml.org/data/v1/download/1592278/nomao.arff
99,9978,1487,ozone-level-8hr,1,Supervised Classification,Class,2534,73,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/1592279/ozone-level-8hr.arff
99,9981,1468,cnae-9,1,Supervised Classification,Class,1080,857,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/1586233/cnae-9.arff
99,9985,1475,first-order-theorem-proving,1,Supervised Classification,Class,6118,52,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/1587932/first-order-theorem-proving.arff
99,10093,1462,banknote-authentication,1,Supervised Classification,Class,1372,5,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/1586223/banknote-authentication.arff
99,10101,1464,blood-transfusion-service-center,1,Supervised Classification,Class,748,5,1.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/1586225/blood-transfusion-service-center.arff
99,14952,4534,PhishingWebsites,1,Supervised Classification,Result,11055,31,31.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/1798106/PhishingWebsites.arff
99,14954,6332,cylinder-bands,2,Supervised Classification,band_type,540,40,22.0,999.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/1854224/cylinder-bands.arff
99,14965,1461,bank-marketing,1,Supervised Classification,Class,45211,17,10.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/1586218/bank-marketing.arff
99,14969,4538,GesturePhaseSegmentationProcessed,1,Supervised Classification,Phase,9873,33,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/1798765/GesturePhaseSegmentationProcessed.arff
99,14970,1478,har,1,Supervised Classification,Class,10299,562,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/1589271/har.arff
99,125920,23381,dresses-sales,2,Supervised Classification,Class,500,13,12.0,835.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/1910507/dresses-sales.arff
99,125922,40499,texture,1,Supervised Classification,Class,5500,41,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/4535764/texture.arff
99,146195,40668,connect-4,2,Supervised Classification,class,67557,43,43.0,0.0,public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/4965243/connect-4.arff
99,146800,40966,MiceProtein,4,Supervised Classification,class,1080,82,5.0,1396.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/17928620/MiceProtein.arff
99,146817,40982,steel-plates-fault,3,Supervised Classification,target,1941,28,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/18151921/steel-plates-fault.arff
99,146819,40994,climate-model-simulation-crashes,4,Supervised Classification,outcome,540,21,1.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/18237248/climate-model-simulation-crashes.arff
99,146820,40983,wilt,2,Supervised Classification,class,4839,6,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/18151926/wilt.arff
99,146821,40975,car,3,Supervised Classification,class,1728,7,7.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/18116966/car.arff
99,146822,40984,segment,3,Supervised Classification,class,2310,20,1.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/18151937/segment.arff
99,146824,40979,mfeat-pixel,3,Supervised Classification,class,2000,241,1.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/18142224/mfeat-pixel.arff
99,146825,40996,Fashion-MNIST,1,Supervised Classification,class,70000,785,1.0,0.0,Public,False,row count outside laptop range; column count outside laptop range; license needs review,https://openml.org/data/v1/download/18238735/Fashion-MNIST.arff
99,167119,41027,jungle_chess_2pcs_raw_endgame_complete,1,Supervised Classification,class,44819,7,1.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/18631418/jungle_chess_2pcs_raw_endgame_complete.arff
99,167120,23517,numerai28.6,2,Supervised Classification,attribute_21,96320,22,1.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/2160285/numerai28.6.arff
99,167121,40923,Devnagari-Script,1,Supervised Classification,character,92000,1025,1.0,0.0,Public,False,row count outside laptop range; column count outside laptop range; license needs review,https://openml.org/data/v1/download/16789311/Devnagari-Script.arff
99,167124,40927,CIFAR_10,1,Supervised Classification,class,60000,3073,1.0,0.0,Public,False,row count outside laptop range; column count outside laptop range; license needs review,https://openml.org/data/v1/download/16797613/CIFAR_10.arff
99,167125,40978,Internet-Advertisements,2,Supervised Classification,class,3279,1559,1556.0,0.0,Public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/18140371/Internet-Advertisements.arff
