attempt,task,kind,candidate,status,exit_code,worker_seconds,selection_loss,selection_score
1,3,classification,linear,success,0,1.6702488999872003,0.0473679332715477,0.9526320667284522
2,3,classification,extra-trees,success,0,1.8465510999958497,0.0075949953660796,0.9924050046339205
3,3,classification,hist-boost,success,0,2.2995921000256203,0.0107043558850787,0.9892956441149212
4,3,classification,random-forest,success,0,1.883747800020501,0.0091658943466172,0.9908341056533828
5,3,classification,rbf-1,success,0,1.7895758000086062,0.0380722891566265,0.9619277108433736
6,3,classification,rbf-10,success,0,1.7274344000034034,0.0061538461538461,0.9938461538461538
7,3,classification,neighbors-5,success,0,1.6919135999924038,0.0995597775718257,0.9004402224281742
8,3,classification,neighbors-25,success,0,1.6730629999947269,0.0935356811862835,0.9064643188137164
9,16,classification,linear,success,0,2.1274368000158574,0.0589890965114865,0.9410109034885136
10,16,classification,extra-trees,success,0,2.8328837000008207,0.0344879624642736,0.9655120375357265
11,16,classification,hist-boost,success,0,5.335215700004483,0.0443280967638373,0.9556719032361628
12,16,classification,random-forest,success,0,2.599294799991185,0.0399783930862833,0.9600216069137166
13,16,classification,rbf-1,success,0,2.1093105000036303,0.0175876707272056,0.9824123292727944
14,16,classification,rbf-10,success,0,2.1087638000026345,0.0175876707272056,0.9824123292727944
15,16,classification,neighbors-5,success,0,1.9420120999857318,0.049937353208467,0.950062646791533
16,16,classification,neighbors-25,success,0,1.9347608000098262,0.0769014176358116,0.9230985823641884
17,28,classification,linear,success,0,2.246180699992692,0.0333289577216024,0.9666710422783976
18,28,classification,extra-trees,success,0,2.492724800016731,0.0147966702913521,0.985203329708648
19,28,classification,hist-boost,success,0,4.980011200008448,0.0261934247605266,0.9738065752394732
20,28,classification,random-forest,success,0,2.396767300000647,0.0197440948184459,0.980255905181554
21,28,classification,rbf-1,success,0,2.1956341000040993,0.0249958557674039,0.975004144232596
22,28,classification,rbf-10,success,0,2.2837325999862514,0.0213520121000516,0.9786479878999484
23,28,classification,neighbors-5,success,0,2.0892327000037767,0.0333787815372523,0.9666212184627476
24,28,classification,neighbors-25,success,0,2.4633638999948744,0.0464875916462125,0.9535124083537876
25,361234,regression,linear,success,0,1.9526952000160236,0.6425213138241322,1.5366968088960495
26,361234,regression,extra-trees,success,0,4.0984613000182435,0.6312323061846691,1.509697265625
27,361234,regression,hist-boost,success,0,2.6465547000116203,0.646923053167458,1.547224302158837
28,361234,regression,random-forest,success,0,3.5350636999937706,0.620673181620209,1.484443359375
29,361234,regression,rbf-1,success,0,2.53150340000866,0.5967879461230221,1.4273178378108944
30,361234,regression,rbf-10,success,0,2.427162700012559,0.610450342515077,1.459993735848559
31,361234,regression,neighbors-5,success,0,2.2704645000048913,0.6495854809569369,1.5535919419553408
32,361234,regression,neighbors-25,success,0,2.4603765000065323,0.6165595538097125,1.4746049328615625
33,361236,regression,linear,success,0,2.0322175000037532,0.7058718630826383,4612.894921025746
34,361236,regression,extra-trees,success,0,2.4156586000171956,0.1102086836840742,720.2172289444006
35,361236,regression,hist-boost,success,0,2.7461776999989524,0.1158203636840458,756.8897349956301
36,361236,regression,random-forest,success,0,2.5526816000055987,0.0678443633278501,443.3650572903292
37,361236,regression,rbf-1,success,0,3.0862213000073098,0.2214090295664642,1446.9150016775943
38,361236,regression,rbf-10,success,0,2.0131723000085913,0.2046913407310922,1337.6643770908654
39,361236,regression,neighbors-5,success,0,2.1119051999994554,0.217623130449008,1422.1740313630075
40,361236,regression,neighbors-25,success,0,1.9824455000052694,0.2922355110454833,1909.7682952794696
41,361244,regression,linear,success,0,2.211906699987594,1.4344246523148416,0.4187594549499779
42,361244,regression,extra-trees,success,0,2.2214992999797687,1.8019353698190053,0.5260488740923225
43,361244,regression,hist-boost,success,0,2.5850992999912705,1.545430110933713,0.4511658872241968
44,361244,regression,random-forest,success,0,1.9975417999958154,1.5435578219971444,0.4506192996475534
45,361244,regression,rbf-1,success,0,1.9285201000166126,1.2524306034962334,0.365628934246481
46,361244,regression,rbf-10,success,0,1.9105910999933258,1.2750733899993116,0.3722391670804442
47,361244,regression,neighbors-5,success,0,1.9058151000062935,1.7337914961464678,0.5061552593588882
48,361244,regression,neighbors-25,success,0,1.8535352000035346,1.4229412785800637,0.4154070506822444
