attempt,task,kind,candidate
1,3,classification,rbf-unscaled
2,3,classification,rbf-wide
3,3,classification,extra-leaf2
4,3,classification,boost-regularized
5,16,classification,rbf-unscaled
6,16,classification,rbf-wide
7,16,classification,extra-leaf2
8,16,classification,boost-regularized
9,28,classification,rbf-unscaled
10,28,classification,rbf-wide
11,28,classification,extra-leaf2
12,28,classification,boost-regularized
13,361234,regression,median-reference
14,361234,regression,absolute-boost
15,361234,regression,absolute-forest
16,361234,regression,svr-tight
17,361236,regression,median-reference
18,361236,regression,absolute-boost
19,361236,regression,absolute-forest
20,361236,regression,svr-tight
21,361244,regression,median-reference
22,361244,regression,absolute-boost
23,361244,regression,absolute-forest
24,361244,regression,svr-tight
