check,passed
terminal,True
frozen/ANCESTRY.md,True
frozen/ENVIRONMENT.md,True
frozen/PANEL.csv,True
frozen/PARENT-LEDGER.csv,True
frozen/PLANNED.csv,True
frozen/public/16/SCHEMA.csv,True
frozen/public/16/selection.csv,True
frozen/public/16/train.csv,True
frozen/public/28/SCHEMA.csv,True
frozen/public/28/selection.csv,True
frozen/public/28/train.csv,True
frozen/public/3/SCHEMA.csv,True
frozen/public/3/selection.csv,True
frozen/public/3/train.csv,True
frozen/public/361234/SCHEMA.csv,True
frozen/public/361234/selection.csv,True
frozen/public/361234/train.csv,True
frozen/public/361236/SCHEMA.csv,True
frozen/public/361236/selection.csv,True
frozen/public/361236/train.csv,True
frozen/public/361244/SCHEMA.csv,True
frozen/public/361244/selection.csv,True
frozen/public/361244/train.csv,True
frozen/source/engine.py,True
frozen/source/parent_engine.py,True
frozen/source/PLAN.csv,True
frozen/source/PROPOSAL.md,True
frozen/source/REAL-TABULAR-DEVELOPMENT-PROTOCOL.md,True
frozen/source/real_tabular_worker.py,True
frozen/source/run_real_tabular_revision.py,True
unchanged_parent,True
parent_ledger,True
no_final_copies,True
development_only,True
charged_slots,True
planned_identity,True
four_per_task,True
process_budget,True
1/admission,True
1/logs,True
1/exit,True
1/train/input_identity,True
1/train/row_ids,True
1/train/truth,True
1/train/classes,True
1/train/metric,True
1/train/loss,True
1/train/scale,True
1/selection/input_identity,True
1/selection/row_ids,True
1/selection/truth,True
1/selection/classes,True
1/selection/metric,True
1/selection/loss,True
1/selection/scale,True
1/ledger,True
2/admission,True
2/logs,True
2/exit,True
2/train/input_identity,True
2/train/row_ids,True
2/train/truth,True
2/train/classes,True
2/train/metric,True
2/train/loss,True
2/train/scale,True
2/selection/input_identity,True
2/selection/row_ids,True
2/selection/truth,True
2/selection/classes,True
2/selection/metric,True
2/selection/loss,True
2/selection/scale,True
2/ledger,True
3/admission,True
3/logs,True
3/exit,True
3/train/input_identity,True
3/train/row_ids,True
3/train/truth,True
3/train/classes,True
3/train/metric,True
3/train/loss,True
3/train/scale,True
3/selection/input_identity,True
3/selection/row_ids,True
3/selection/truth,True
3/selection/classes,True
3/selection/metric,True
3/selection/loss,True
3/selection/scale,True
3/ledger,True
4/admission,True
4/logs,True
4/exit,True
4/train/input_identity,True
4/train/row_ids,True
4/train/truth,True
4/train/classes,True
4/train/metric,True
4/train/loss,True
4/train/scale,True
4/selection/input_identity,True
4/selection/row_ids,True
4/selection/truth,True
4/selection/classes,True
4/selection/metric,True
4/selection/loss,True
4/selection/scale,True
4/ledger,True
5/admission,True
5/logs,True
5/exit,True
5/train/input_identity,True
5/train/row_ids,True
5/train/truth,True
5/train/classes,True
5/train/metric,True
5/train/loss,True
5/train/scale,True
