column,role,kind,categories
att1,feature,numeric,
att2,feature,numeric,
att3,feature,numeric,
att4,feature,numeric,
att5,feature,numeric,
att6,feature,numeric,
att7,feature,numeric,
att8,feature,numeric,
att9,feature,numeric,
att10,feature,numeric,
att11,feature,numeric,
att12,feature,numeric,
att13,feature,numeric,
att14,feature,numeric,
att15,feature,numeric,
att16,feature,numeric,
att17,feature,numeric,
att18,feature,numeric,
att19,feature,numeric,
att20,feature,numeric,
att21,feature,numeric,
att22,feature,numeric,
att23,feature,numeric,
att24,feature,numeric,
att25,feature,numeric,
att26,feature,numeric,
att27,feature,numeric,
att28,feature,numeric,
att29,feature,numeric,
att30,feature,numeric,
att31,feature,numeric,
att32,feature,numeric,
att33,feature,numeric,
att34,feature,numeric,
att35,feature,numeric,
att36,feature,numeric,
att37,feature,numeric,
att38,feature,numeric,
att39,feature,numeric,
att40,feature,numeric,
att41,feature,numeric,
att42,feature,numeric,
att43,feature,numeric,
att44,feature,numeric,
att45,feature,numeric,
att46,feature,numeric,
att47,feature,numeric,
att48,feature,numeric,
att49,feature,numeric,
att50,feature,numeric,
att51,feature,numeric,
att52,feature,numeric,
att53,feature,numeric,
att54,feature,numeric,
att55,feature,numeric,
att56,feature,numeric,
att57,feature,numeric,
att58,feature,numeric,
att59,feature,numeric,
att60,feature,numeric,
att61,feature,numeric,
att62,feature,numeric,
att63,feature,numeric,
att64,feature,numeric,
class,target,categorical,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10
