row_id,sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
4,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7.0
19,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9.0
26,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11.0
27,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12.0
34,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13.0
38,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11.0
43,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5.0
47,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7.0
48,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6.0
49,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9.0
51,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7.0
52,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10.0
53,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10.0
57,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8.0
60,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7.0
63,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7.0
74,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13.0
77,F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10.0
114,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11.0
118,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9.0
121,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7.0
122,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14.0
123,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6.0
134,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7.0
140,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10.0
143,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11.0
145,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10.0
148,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5.0
157,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16.0
160,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13.0
171,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7.0
172,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8.0
177,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8.0
184,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12.0
187,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10.0
193,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8.0
200,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9.0
205,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9.0
209,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7.0
225,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9.0
229,F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15.0
230,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13.0
236,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1.0
237,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3.0
245,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10.0
247,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9.0
248,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7.0
249,I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7.0
251,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13.0
258,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15.0
267,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8.0
269,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13.0
278,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20.0
290,M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17.0
292,M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15.0
299,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9.0
