row_id,class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
16,D,R,I,1,3.0,1,1,2,1,1.0,1.0
19,B,X,O,1,2.0,1,2,2,1,1.0,0.0
20,H,S,X,1,2.0,1,1,2,1,1.0,0.0
23,C,R,O,1,3.0,1,1,2,1,1.0,5.0
24,B,X,O,1,2.0,1,2,2,1,1.0,0.0
34,D,R,I,1,3.0,1,2,2,1,1.0,0.0
36,C,R,O,1,3.0,1,1,2,1,1.0,0.0
39,B,X,O,1,2.0,1,2,2,1,1.0,1.0
42,D,K,I,2,3.0,1,2,2,1,1.0,2.0
50,C,R,O,1,3.0,1,1,2,1,1.0,0.0
52,C,R,O,1,3.0,1,1,2,1,1.0,0.0
55,H,S,X,1,3.0,1,1,1,1,1.0,0.0
69,E,K,C,2,3.0,3,2,2,2,1.0,6.0
70,H,R,X,1,3.0,1,1,1,1,1.0,0.0
77,D,A,I,1,3.0,1,1,2,1,1.0,0.0
82,C,R,O,1,3.0,1,1,2,1,1.0,0.0
90,C,R,O,1,3.0,1,1,2,1,1.0,0.0
104,C,S,O,1,3.0,1,2,2,1,1.0,1.0
111,F,A,I,2,2.0,1,2,2,1,1.0,2.0
112,H,S,X,1,1.0,1,2,2,1,1.0,1.0
118,H,S,X,1,2.0,1,2,2,1,1.0,0.0
119,E,A,O,1,2.0,1,2,2,1,1.0,1.0
123,H,S,X,1,2.0,1,2,2,1,1.0,0.0
124,F,A,I,2,2.0,1,2,2,1,1.0,0.0
125,E,A,O,1,2.0,1,2,2,1,1.0,0.0
134,H,S,X,1,2.0,1,1,2,1,1.0,2.0
138,C,R,O,1,3.0,1,1,2,1,1.0,0.0
151,C,H,O,1,3.0,1,1,2,1,1.0,0.0
156,D,R,I,1,3.0,1,1,2,1,1.0,0.0
157,H,S,X,1,1.0,1,2,2,1,1.0,0.0
165,C,R,O,1,3.0,1,1,2,1,1.0,0.0
167,H,S,X,1,2.0,1,1,2,1,1.0,0.0
171,E,K,C,1,3.0,1,2,2,2,1.0,2.0
173,H,S,X,1,3.0,1,1,1,1,1.0,0.0
175,D,S,O,2,2.0,1,1,2,1,1.0,0.0
179,E,A,C,2,1.0,3,2,2,1,1.0,5.0
187,H,S,X,1,3.0,1,1,1,1,1.0,0.0
188,F,K,C,2,3.0,3,2,2,2,1.0,1.0
189,E,A,O,2,2.0,1,2,2,1,1.0,1.0
191,H,S,X,1,3.0,1,1,1,1,1.0,0.0
193,H,S,X,1,2.0,1,1,2,1,1.0,0.0
194,H,S,X,1,2.0,1,1,2,1,1.0,0.0
195,C,H,O,1,3.0,1,1,2,1,1.0,1.0
198,E,A,O,2,2.0,1,2,2,1,1.0,0.0
