row_id,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
7,21.0,3,3,1.0,1,0,3,2,0,1
10,38.0,1,3,2.0,1,0,3,3,1,1
11,42.0,1,4,4.0,1,1,1,3,0,1
18,37.0,2,2,8.0,1,1,2,3,0,1
36,43.0,1,2,8.0,1,0,3,1,0,1
42,48.0,2,4,2.0,1,1,1,3,0,1
46,32.0,4,4,2.0,1,1,2,3,0,1
54,36.0,2,4,5.0,1,1,2,3,0,1
60,42.0,3,3,10.0,1,1,3,3,0,1
61,20.0,2,3,1.0,1,1,2,3,0,1
64,27.0,2,4,1.0,1,0,1,3,0,1
67,30.0,2,3,3.0,1,1,3,1,0,1
73,29.0,2,3,1.0,1,1,1,2,0,1
74,21.0,3,4,0.0,1,1,2,3,0,1
78,33.0,2,3,2.0,1,1,3,2,0,1
90,25.0,2,3,0.0,1,1,2,1,0,1
91,46.0,2,4,6.0,1,1,1,4,0,1
92,26.0,2,2,3.0,1,1,2,1,0,1
109,26.0,2,3,3.0,1,1,3,1,0,1
112,21.0,4,4,1.0,1,1,1,4,0,1
113,31.0,2,2,4.0,1,1,3,3,0,1
115,37.0,4,4,1.0,1,1,1,4,0,1
120,38.0,1,2,1.0,1,1,2,4,1,1
126,45.0,4,4,1.0,1,1,1,3,0,1
134,26.0,4,4,1.0,1,1,1,3,0,1
138,30.0,4,4,2.0,0,1,3,1,0,1
139,20.0,4,4,1.0,1,1,1,4,0,1
149,43.0,4,4,5.0,1,1,1,4,0,1
153,23.0,4,4,2.0,1,1,2,4,0,1
159,22.0,2,2,2.0,1,1,3,1,0,1
163,40.0,3,3,1.0,1,0,3,3,0,1
170,47.0,4,4,4.0,1,1,1,4,0,1
173,22.0,3,3,2.0,1,1,3,4,0,1
182,42.0,1,3,12.0,1,1,3,3,0,1
186,20.0,2,4,0.0,1,1,3,2,0,1
187,36.0,2,3,4.0,1,1,3,1,1,1
190,30.0,1,2,4.0,1,1,4,1,0,1
192,44.0,1,1,11.0,1,1,4,1,1,1
194,18.0,3,4,0.0,1,0,3,1,0,1
198,30.0,1,1,5.0,1,1,2,2,0,1
199,32.0,2,4,2.0,1,1,3,3,0,1
208,32.0,4,4,1.0,1,1,1,4,0,1
211,45.0,1,2,1.0,1,0,3,3,0,1
215,27.0,3,4,2.0,1,0,2,2,0,1
222,37.0,1,2,2.0,1,1,2,2,1,1
223,22.0,1,2,0.0,1,1,2,4,0,1
224,47.0,4,4,4.0,1,1,1,4,0,1
227,45.0,1,3,1.0,1,1,2,3,1,1
231,26.0,2,4,1.0,1,1,1,3,0,1
232,21.0,3,4,0.0,1,0,3,1,0,1
235,27.0,2,3,1.0,1,0,3,4,0,1
239,20.0,3,3,1.0,1,1,2,3,0,1
240,19.0,3,4,1.0,1,1,2,3,0,1
241,40.0,3,3,4.0,1,1,2,2,0,1
242,41.0,1,4,4.0,1,1,3,3,0,1
244,32.0,3,4,4.0,1,1,1,4,0,1
245,34.0,4,4,2.0,0,1,1,4,0,1
254,48.0,1,3,4.0,1,1,3,3,1,1
259,39.0,3,3,1.0,0,1,3,4,0,1
262,29.0,3,3,3.0,1,0,2,4,0,1
268,38.0,3,3,7.0,1,1,3,1,0,1
276,47.0,2,1,5.0,0,1,2,4,0,1
279,48.0,4,4,3.0,1,1,2,4,0,1
280,43.0,2,3,6.0,1,0,3,3,0,1
284,29.0,2,4,2.0,1,0,4,4,1,1
288,22.0,2,1,0.0,1,1,3,2,0,1
293,40.0,4,4,3.0,1,1,3,4,0,1
295,49.0,3,4,6.0,1,1,1,4,0,1
307,39.0,3,4,6.0,1,1,1,4,0,1
315,37.0,2,3,5.0,0,0,2,4,0,1
325,25.0,4,4,1.0,0,1,2,3,0,1
335,31.0,2,2,8.0,1,1,2,2,1,1
342,23.0,4,4,0.0,0,1,2,4,0,1
347,32.0,1,2,4.0,1,1,3,2,1,1
348,25.0,2,2,3.0,1,1,3,3,0,1
350,19.0,2,2,2.0,1,1,3,1,0,1
351,40.0,1,2,6.0,1,1,3,1,1,1
355,27.0,2,2,1.0,1,0,3,2,1,1
358,49.0,2,3,0.0,1,1,1,2,0,1
362,37.0,1,3,0.0,1,1,3,4,0,1
369,23.0,3,3,6.0,1,1,3,3,0,1
373,39.0,3,4,3.0,1,1,1,4,0,1
374,49.0,1,3,0.0,1,1,3,3,1,1
376,40.0,3,3,3.0,1,1,2,2,1,1
378,18.0,2,3,1.0,1,1,2,3,0,1
385,39.0,4,4,2.0,1,0,1,4,0,1
386,44.0,4,4,3.0,1,0,1,4,1,1
391,33.0,4,4,5.0,1,1,3,4,0,1
398,19.0,2,2,0.0,1,1,2,2,0,1
401,30.0,3,4,5.0,1,1,1,4,0,1
404,29.0,3,4,4.0,1,0,1,3,0,1
405,23.0,3,3,2.0,1,1,3,3,0,1
426,39.0,4,4,4.0,1,1,1,4,0,2
432,25.0,3,4,3.0,1,1,2,3,0,2
433,37.0,4,4,2.0,1,0,3,3,0,2
434,20.0,3,4,1.0,1,1,3,2,0,2
445,33.0,2,2,6.0,1,0,3,4,0,2
447,35.0,4,4,5.0,0,0,1,4,0,2
451,26.0,2,4,2.0,1,1,1,3,0,2
453,31.0,4,4,1.0,1,1,1,4,0,2
455,32.0,3,3,2.0,1,0,3,4,0,2
456,36.0,4,4,3.0,1,1,1,4,0,2
461,34.0,4,4,2.0,1,1,1,4,0,2
462,36.0,4,4,3.0,1,1,1,4,0,2
471,34.0,2,3,2.0,1,1,3,3,0,2
477,21.0,4,4,1.0,1,1,1,4,0,2
478,42.0,4,4,6.0,1,1,1,3,0,2
481,35.0,1,3,7.0,1,0,2,3,1,2
484,31.0,3,3,2.0,1,0,3,3,0,2
488,35.0,3,3,4.0,1,1,3,2,0,2
497,26.0,4,4,1.0,0,1,2,4,0,2
501,29.0,4,4,2.0,1,0,1,3,0,2
505,33.0,4,4,4.0,1,1,1,4,0,2
514,32.0,4,4,2.0,1,0,1,4,0,2
526,33.0,2,3,5.0,1,0,2,1,0,2
528,29.0,4,4,2.0,1,0,1,3,0,2
529,47.0,2,2,7.0,1,1,2,4,0,2
536,28.0,4,4,2.0,1,0,1,3,0,2
540,27.0,3,3,1.0,1,0,3,4,0,2
553,47.0,4,4,4.0,1,0,1,4,0,2
557,30.0,3,4,2.0,1,1,1,4,0,2
560,38.0,4,4,3.0,1,0,1,4,0,2
565,22.0,4,4,1.0,1,1,1,3,0,2
566,27.0,4,4,1.0,0,0,1,4,0,2
569,39.0,4,4,3.0,0,0,1,4,0,2
570,36.0,4,4,3.0,0,1,2,4,0,2
591,35.0,3,4,3.0,1,1,2,2,0,2
593,27.0,4,4,2.0,1,0,1,3,0,2
595,42.0,4,4,5.0,1,1,1,4,0,2
599,35.0,2,4,3.0,0,0,3,4,1,2
600,31.0,4,2,2.0,0,1,1,3,0,2
612,37.0,4,4,4.0,0,0,2,4,0,2
613,46.0,4,4,3.0,0,0,1,4,0,2
620,38.0,4,4,6.0,1,1,1,4,0,2
626,32.0,4,4,2.0,0,0,2,4,0,2
628,39.0,4,4,4.0,0,1,1,4,0,2
629,39.0,4,4,5.0,1,1,1,4,0,2
632,39.0,4,4,3.0,0,1,1,4,0,2
633,44.0,4,4,3.0,1,0,1,4,0,2
637,27.0,3,2,5.0,1,1,2,4,0,2
641,41.0,4,4,4.0,1,0,1,4,0,2
643,27.0,2,2,5.0,1,1,3,1,0,3
650,27.0,2,4,1.0,1,1,1,4,0,3
652,30.0,2,2,4.0,1,1,2,4,0,3
656,20.0,3,4,2.0,1,1,1,3,0,3
662,35.0,4,4,2.0,1,1,2,4,0,3
665,33.0,3,4,8.0,1,1,3,4,0,3
669,35.0,2,3,6.0,1,0,3,3,0,3
676,33.0,4,4,5.0,1,1,1,4,0,3
677,33.0,3,3,8.0,1,1,3,4,0,3
685,29.0,3,3,1.0,1,1,3,3,0,3
692,19.0,4,4,1.0,1,1,1,3,0,3
702,29.0,1,2,5.0,1,0,1,2,0,3
708,25.0,4,4,3.0,1,1,1,4,0,3
710,32.0,2,3,4.0,1,1,3,2,0,3
718,32.0,4,4,3.0,0,1,1,4,0,3
720,32.0,4,4,3.0,0,1,1,4,0,3
724,32.0,4,4,3.0,1,1,1,4,0,3
725,25.0,4,4,1.0,0,1,3,3,0,3
727,21.0,2,3,1.0,1,0,3,2,0,3
728,22.0,4,4,1.0,1,1,3,3,0,3
732,31.0,3,3,6.0,0,1,3,1,0,3
735,24.0,2,2,2.0,1,1,3,4,0,3
741,23.0,3,4,1.0,1,1,2,3,0,3
745,26.0,3,4,4.0,1,1,2,3,0,3
747,44.0,4,4,11.0,1,1,1,4,0,3
749,23.0,4,4,2.0,1,1,3,4,0,3
752,39.0,4,4,3.0,1,1,2,4,0,3
753,33.0,3,4,4.0,1,1,3,3,0,3
758,48.0,3,4,3.0,1,1,2,3,0,3
763,22.0,3,4,3.0,1,1,2,3,0,3
771,20.0,4,4,2.0,1,1,1,3,0,3
786,22.0,1,3,2.0,1,1,3,1,0,3
788,30.0,3,4,3.0,1,1,2,3,0,3
789,20.0,2,2,2.0,1,1,3,2,1,3
790,34.0,4,4,2.0,1,1,1,4,0,3
797,27.0,4,4,1.0,0,0,1,3,0,3
800,32.0,2,2,8.0,1,1,2,1,0,3
801,21.0,2,2,1.0,1,1,4,3,0,3
803,23.0,2,3,2.0,1,1,3,1,0,3
804,36.0,2,2,5.0,1,1,3,4,0,3
807,25.0,2,3,4.0,1,1,3,3,0,3
814,17.0,3,4,1.0,1,1,2,1,0,3
817,23.0,4,4,1.0,1,1,3,3,0,3
818,25.0,2,4,3.0,1,1,3,2,0,3
819,30.0,1,3,4.0,1,1,3,4,0,3
828,35.0,4,4,3.0,1,1,1,4,0,3
830,19.0,4,4,1.0,1,1,2,4,0,3
846,22.0,1,2,3.0,1,1,3,1,1,3
862,23.0,3,2,2.0,1,0,3,2,0,3
876,29.0,3,4,4.0,1,0,1,3,0,3
877,42.0,4,4,5.0,1,1,1,4,0,3
880,21.0,3,4,1.0,1,1,3,2,0,3
886,28.0,3,3,2.0,0,1,2,3,0,3
896,39.0,4,4,2.0,0,1,3,4,0,3
898,38.0,4,4,2.0,1,0,1,4,0,3
899,43.0,4,4,5.0,1,1,1,4,0,3
901,30.0,3,4,2.0,1,1,1,2,0,3
903,22.0,4,4,1.0,0,1,3,1,0,3
904,25.0,1,2,3.0,1,1,2,3,0,3
907,25.0,3,3,2.0,1,1,2,3,0,3
913,28.0,4,4,2.0,1,1,1,4,0,3
915,47.0,4,4,5.0,1,1,1,3,0,3
928,36.0,4,4,3.0,0,1,3,4,0,3
940,27.0,2,4,4.0,1,1,3,4,0,3
946,25.0,2,2,1.0,1,1,3,3,0,3
949,37.0,2,3,5.0,1,1,4,2,0,3
951,25.0,3,4,3.0,1,1,3,4,0,3
956,20.0,2,2,1.0,1,1,3,2,0,3
957,40.0,2,3,5.0,1,1,3,3,0,3
958,41.0,3,3,7.0,0,1,2,4,0,3
959,36.0,2,4,8.0,1,1,1,4,0,3
964,32.0,4,4,4.0,1,0,1,4,0,3
965,22.0,2,2,3.0,1,0,3,3,0,3
966,30.0,3,3,4.0,1,0,2,2,0,3
970,31.0,4,4,1.0,1,1,1,4,0,3
973,22.0,1,2,2.0,1,1,3,4,0,3
982,36.0,4,4,3.0,0,1,2,4,0,3
989,26.0,3,2,5.0,1,1,2,2,0,3
1000,35.0,2,2,6.0,1,0,3,1,1,1
1003,25.0,4,4,0.0,1,0,3,4,0,1
1013,38.0,1,2,12.0,1,1,2,3,0,1
1019,38.0,2,4,3.0,1,1,1,3,0,1
1020,27.0,1,2,4.0,1,1,1,4,1,1
1026,39.0,2,2,5.0,1,0,3,2,1,1
1041,24.0,3,3,2.0,1,0,3,2,0,1
1044,31.0,4,4,3.0,1,0,2,3,0,1
1056,46.0,1,4,8.0,1,1,1,4,1,1
1059,25.0,4,4,1.0,1,1,3,4,0,1
1060,42.0,4,4,1.0,1,0,1,4,0,1
1062,27.0,3,3,4.0,1,1,2,4,0,1
1064,29.0,3,4,2.0,1,1,1,3,0,1
1066,49.0,1,2,8.0,1,1,3,1,1,1
1069,24.0,2,3,2.0,1,1,3,1,0,1
1071,47.0,1,2,2.0,1,1,2,3,1,1
1072,24.0,3,4,1.0,1,0,3,3,0,1
1089,28.0,1,4,0.0,1,0,4,1,0,1
1092,28.0,3,3,5.0,1,1,3,3,0,1
1095,20.0,3,4,1.0,1,1,3,2,0,1
1109,35.0,4,4,3.0,1,1,1,4,0,1
