row_id,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
0,24.0,2,3,3.0,1,1,2,3,0,1
1,45.0,1,3,10.0,1,1,3,4,0,1
2,43.0,2,3,7.0,1,1,3,4,0,1
3,42.0,3,2,9.0,1,1,3,3,0,1
4,36.0,3,3,8.0,1,1,3,2,0,1
6,38.0,2,3,6.0,1,1,3,2,0,1
8,27.0,2,3,3.0,1,1,3,4,0,1
12,44.0,4,4,1.0,1,0,1,4,0,1
13,42.0,2,4,1.0,1,0,3,3,0,1
14,38.0,3,4,2.0,1,1,2,3,0,1
17,39.0,2,2,6.0,1,1,2,4,0,1
19,39.0,2,1,5.0,1,1,2,1,1,1
21,24.0,3,4,0.0,1,0,3,1,0,1
22,46.0,4,4,1.0,0,1,1,4,0,1
23,39.0,4,4,1.0,1,1,1,4,0,1
25,40.0,2,4,8.0,1,1,3,3,0,1
26,38.0,4,4,1.0,1,0,1,4,0,1
27,29.0,4,4,0.0,1,0,1,4,0,1
28,24.0,4,4,0.0,1,0,2,2,0,1
29,43.0,1,2,8.0,1,1,2,4,0,1
30,31.0,3,4,2.0,1,1,1,4,0,1
31,31.0,4,4,2.0,1,1,3,2,0,1
32,26.0,2,4,0.0,1,0,1,2,0,1
35,42.0,1,3,9.0,1,1,3,2,1,1
37,25.0,3,3,4.0,1,1,3,2,0,1
38,42.0,2,2,3.0,1,1,3,4,0,1
39,28.0,2,2,1.0,1,1,2,4,0,1
40,28.0,1,1,3.0,1,1,3,1,0,1
41,47.0,2,3,0.0,1,0,1,3,0,1
43,40.0,4,4,2.0,0,1,1,4,0,1
44,28.0,2,2,1.0,1,1,3,2,0,1
45,25.0,1,4,1.0,1,1,2,1,0,1
47,45.0,4,4,0.0,1,1,2,4,0,1
49,26.0,4,4,0.0,1,0,1,4,0,1
52,40.0,3,4,8.0,1,1,3,3,0,1
55,20.0,2,2,2.0,1,1,2,2,1,1
56,43.0,4,4,5.0,1,0,1,4,0,1
57,37.0,3,4,7.0,1,1,2,1,0,1
58,21.0,2,3,0.0,1,1,3,4,0,1
63,22.0,2,3,1.0,1,1,2,1,0,1
65,24.0,2,4,1.0,1,1,3,1,0,1
66,44.0,4,2,8.0,1,1,3,3,0,1
68,23.0,3,4,2.0,1,1,3,4,0,1
69,25.0,4,4,1.0,1,0,3,3,0,1
70,47.0,2,3,4.0,1,1,2,3,0,1
72,29.0,2,3,1.0,1,1,1,1,0,1
75,21.0,3,4,1.0,1,1,2,3,0,1
76,29.0,4,4,0.0,1,0,2,4,0,1
77,45.0,3,4,3.0,1,1,1,4,0,1
79,38.0,4,4,1.0,1,0,1,4,0,1
80,24.0,4,4,0.0,0,1,1,4,0,1
82,24.0,2,4,1.0,1,0,4,4,0,1
83,28.0,4,4,0.0,0,0,1,4,0,1
84,30.0,4,4,2.0,1,1,1,4,0,1
85,33.0,4,4,2.0,1,1,1,4,0,1
86,25.0,4,4,1.0,1,1,1,3,0,1
88,27.0,2,4,4.0,1,1,1,4,0,1
93,38.0,2,2,1.0,1,0,3,2,0,1
94,47.0,1,2,3.0,1,1,1,3,0,1
95,41.0,1,3,10.0,1,1,2,3,1,1
96,41.0,2,3,1.0,1,0,2,3,0,1
97,28.0,4,4,5.0,1,1,2,1,0,1
98,17.0,2,2,3.0,1,1,3,1,0,1
100,27.0,1,2,4.0,1,1,3,1,1,1
101,19.0,2,3,0.0,1,0,2,2,0,1
102,27.0,2,4,3.0,1,0,3,2,0,1
103,26.0,4,3,4.0,1,1,2,3,0,1
105,40.0,3,3,3.0,1,1,3,2,0,1
107,44.0,3,4,4.0,1,0,1,3,0,1
108,29.0,2,3,2.0,1,1,3,1,0,1
110,45.0,4,4,1.0,1,0,3,3,0,1
114,21.0,3,4,0.0,1,1,1,3,0,1
116,34.0,4,4,3.0,0,0,3,3,0,1
117,44.0,3,4,1.0,1,1,1,3,0,1
119,26.0,2,3,2.0,1,1,3,3,0,1
121,36.0,2,3,5.0,1,1,2,3,0,1
122,26.0,3,4,2.0,1,1,3,3,0,1
123,20.0,2,3,1.0,0,1,3,2,0,1
124,44.0,2,1,3.0,1,0,3,2,0,1
125,31.0,3,4,2.0,1,1,1,2,1,1
127,36.0,2,3,2.0,1,1,3,2,1,1
128,43.0,1,3,2.0,1,0,2,2,1,1
130,48.0,3,4,3.0,1,1,3,1,0,1
131,30.0,4,4,0.0,0,0,1,3,0,1
132,48.0,1,2,8.0,1,1,3,1,0,1
133,28.0,3,4,1.0,1,1,3,1,1,1
135,26.0,3,3,3.0,1,0,2,4,0,1
137,21.0,3,3,2.0,1,1,2,2,0,1
141,30.0,4,4,0.0,0,0,3,3,0,1
142,47.0,4,4,1.0,1,0,1,3,0,1
143,35.0,4,4,2.0,0,1,3,3,0,1
145,33.0,4,4,3.0,1,1,1,4,0,1
146,45.0,4,4,4.0,1,1,2,3,0,1
147,41.0,4,4,2.0,1,1,1,4,0,1
148,32.0,4,4,1.0,1,0,1,3,0,1
150,44.0,4,4,3.0,1,1,2,4,0,1
152,44.0,3,4,2.0,1,1,1,4,1,1
154,47.0,1,2,4.0,1,1,2,2,0,1
155,47.0,1,1,7.0,1,1,2,3,1,1
156,35.0,4,4,2.0,1,0,2,4,0,1
157,32.0,2,4,4.0,1,1,3,2,0,1
158,45.0,1,4,5.0,1,1,1,2,1,1
160,23.0,1,1,3.0,1,1,2,1,1,1
161,30.0,4,4,0.0,1,0,1,4,0,1
162,44.0,1,3,0.0,1,1,2,3,0,1
165,37.0,3,4,1.0,1,1,2,4,0,1
166,49.0,3,4,5.0,1,1,1,4,0,1
168,22.0,4,4,0.0,1,1,2,4,0,1
171,49.0,2,2,8.0,1,0,3,1,0,1
174,25.0,3,2,2.0,1,1,3,2,0,1
175,32.0,2,4,0.0,1,0,3,4,0,1
176,28.0,4,4,0.0,0,1,1,3,0,1
177,30.0,2,4,4.0,1,0,1,4,0,1
179,49.0,2,1,10.0,1,0,2,4,0,1
183,48.0,2,1,3.0,1,0,4,3,0,1
184,35.0,3,4,5.0,1,0,2,2,0,1
185,33.0,2,3,1.0,1,1,3,4,0,1
188,19.0,3,3,2.0,1,1,3,2,0,1
189,27.0,3,2,3.0,1,1,3,2,0,1
191,31.0,3,4,3.0,1,0,3,2,0,1
193,24.0,3,3,2.0,1,1,3,3,0,1
195,45.0,1,2,6.0,1,1,3,3,1,1
196,25.0,2,2,3.0,1,0,3,1,0,1
197,36.0,3,4,6.0,1,1,2,4,0,1
200,42.0,1,4,11.0,0,1,2,2,1,1
201,22.0,2,4,0.0,1,1,3,3,0,1
203,27.0,2,3,2.0,1,1,3,3,0,1
206,26.0,2,4,0.0,1,1,3,1,0,1
207,31.0,3,4,0.0,1,0,2,3,0,1
209,34.0,2,3,3.0,1,0,3,2,0,1
210,40.0,3,3,1.0,0,1,3,4,0,1
212,26.0,3,4,3.0,1,1,3,2,0,1
213,48.0,1,3,5.0,1,1,3,2,0,1
216,42.0,3,2,1.0,1,1,3,3,0,1
217,34.0,3,2,8.0,1,0,2,3,1,1
218,32.0,3,2,4.0,1,1,2,2,1,1
219,31.0,3,3,2.0,1,0,2,3,0,1
220,22.0,2,3,1.0,1,1,3,3,0,1
221,27.0,3,4,0.0,1,1,3,3,0,1
226,37.0,3,3,2.0,1,1,1,4,0,1
229,28.0,3,4,0.0,1,1,3,2,0,1
230,48.0,1,3,4.0,1,1,3,4,1,1
233,20.0,2,3,1.0,1,1,2,4,0,1
236,37.0,2,3,5.0,1,0,3,2,0,1
237,24.0,4,4,1.0,1,1,3,3,0,1
243,22.0,4,4,2.0,1,1,1,3,0,1
246,34.0,4,4,2.0,1,0,1,3,0,1
247,23.0,4,4,2.0,1,1,1,4,0,1
251,33.0,4,4,5.0,1,1,3,3,0,1
253,26.0,4,4,1.0,1,0,1,4,0,1
255,36.0,4,4,2.0,1,1,3,3,0,1
256,38.0,3,4,2.0,0,1,2,4,0,1
257,44.0,1,2,7.0,1,1,3,4,0,1
258,44.0,2,2,1.0,1,0,3,2,0,1
260,47.0,1,2,7.0,1,0,3,2,0,1
261,43.0,1,3,5.0,1,0,3,2,0,1
265,22.0,4,4,0.0,1,1,1,3,0,1
266,45.0,3,4,6.0,1,1,2,4,0,1
269,47.0,1,1,6.0,1,0,3,1,0,1
270,30.0,4,4,2.0,1,1,1,4,0,1
271,28.0,3,4,1.0,1,1,3,4,0,1
272,25.0,3,4,1.0,1,1,2,1,0,1
273,49.0,2,4,6.0,0,1,2,3,0,1
274,23.0,3,4,2.0,1,0,2,3,0,1
277,35.0,2,3,0.0,1,1,2,4,0,1
278,44.0,3,4,6.0,1,1,3,4,0,1
281,21.0,2,4,2.0,1,1,3,1,0,1
282,22.0,4,4,0.0,1,1,1,4,0,1
283,41.0,3,3,5.0,1,1,3,4,0,1
285,44.0,4,4,5.0,0,1,2,4,0,1
286,22.0,4,4,0.0,1,0,1,4,0,1
287,23.0,2,4,4.0,1,1,3,3,0,1
290,24.0,4,4,1.0,1,1,2,2,0,1
291,36.0,4,4,4.0,1,1,1,4,0,1
292,47.0,1,2,2.0,1,1,2,4,0,1
294,29.0,4,4,1.0,1,1,1,3,0,1
296,49.0,3,4,9.0,1,1,1,4,0,1
297,47.0,4,4,2.0,1,1,1,4,0,1
298,28.0,4,4,3.0,0,1,1,4,0,1
300,29.0,1,2,7.0,1,1,2,4,0,1
301,29.0,4,2,0.0,1,0,2,2,0,1
302,25.0,3,3,1.0,1,1,3,4,0,1
303,24.0,2,4,2.0,1,1,3,4,0,1
