row_id,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992
6,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
8,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856
16,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047984
17,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252
18,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.563252032
22,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06342182
24,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.516697444
29,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
30,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.260122448
34,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.692254024
51,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.931941844
64,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180.0,48.695621452
69,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.98818916
71,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.79941252
78,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.096147
79,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3.0,41.2996124
93,374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.20178676
94,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7.0,42.79577532
106,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
107,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.80085148
109,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
111,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
114,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.89749796
115,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.10122316
118,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
123,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
126,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
129,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
131,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28.0,52.20022796
132,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
134,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
137,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
145,469.0,117.2,0.0,137.8,32.2,852.1,840.5,56.0,69.29923276
150,318.8,212.5,0.0,155.7,14.3,852.1,880.4,56.0,66.10006412
152,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
155,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
157,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
160,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
171,531.3,0.0,0.0,141.8,28.2,852.1,893.7,91.0,59.19840936
178,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.80073164
183,337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.79617508
185,222.36,0.0,96.67,189.29,4.46,967.08,870.32,14.0,24.44881896
192,233.81,0.0,94.58,197.89,4.567,947.04,852.16,56.0,27.66177712
195,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14.0,24.98661024
196,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,28.0,25.72434956
215,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14.0,22.7182342
219,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3.0,10.76272036
221,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28.0,21.53923024
226,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28.0,24.24197616
231,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28.0,45.70536404
232,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56.0,50.77301264
236,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,28.0,40.2309246
249,250.0,0.0,95.69,187.42,5.53,956.86,861.17,3.0,13.81709904
251,250.0,0.0,95.69,187.42,5.53,956.86,861.17,28.0,29.21999288
279,251.37,0.0,118.27,188.45,6.35,1028.4,757.73,3.0,13.12072828
282,251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56.0,36.63875464
285,181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0,21.60128308
287,181.38,0.0,167.01,169.59,7.56,1055.6,777.8,56.0,35.57006684
295,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14.0,23.5111316
297,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56.0,39.14844728
299,290.35,0.0,96.18,168.08,9.41,961.18,865.0,3.0,22.50449664
301,290.35,0.0,96.18,168.08,9.41,961.18,865.0,28.0,34.73580088
302,290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,45.08483564
305,277.05,0.0,97.39,160.6,11.83,973.9,875.61,14.0,41.885667
312,295.71,0.0,95.64,171.54,8.87,955.14,859.2,56.0,48.71837416
319,249.1,0.0,98.75,158.11,12.8,987.76,889.01,3.0,15.36152528
323,249.1,0.0,98.75,158.11,12.8,987.76,889.01,100.0,51.0556978
346,213.74,0.0,174.74,154.79,10.16,1053.5,776.35,28.0,40.14818748
351,213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28.0,45.93978588
353,213.5,0.0,174.24,154.61,11.66,1052.3,775.48,100.0,59.30183076
370,218.85,0.0,124.13,158.49,11.33,1078.7,794.91,14.0,26.04840328
377,376.0,0.0,0.0,214.6,0.0,1003.5,762.36,56.0,36.3009114
381,315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28.0,81.75116932
388,385.0,0.0,136.0,158.0,20.0,903.0,768.0,28.0,55.55108132
390,450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.37597436
415,250.0,0.0,95.69,191.84,5.33,948.9,857.2,3.0,8.48744956
424,173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14.0,33.00521612
427,190.34,0.0,125.18,166.61,9.88,1079.0,798.9,14.0,19.41564416
434,178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28.0,39.1622368
436,172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28.0,33.68779736
440,190.34,0.0,125.18,166.61,9.88,1079.0,798.9,28.0,24.84871504
443,194.68,0.0,100.52,170.17,7.48,998.0,901.8,28.0,37.2661778
449,172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56.0,35.852752
455,213.5,0.0,174.24,159.21,11.66,1043.6,771.9,56.0,51.25564584
459,165.0,128.5,132.1,175.06,8.08,1005.8,746.6,100.0,55.0201848
460,178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100.0,49.99390476
463,173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100.0,56.06129356
468,213.5,0.0,174.24,159.21,11.66,1043.6,771.9,100.0,52.95865156
475,446.0,24.0,79.0,162.0,11.61,967.0,712.0,3.0,35.36322404
476,446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,25.02108404
477,446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,23.34565736
485,387.0,20.0,94.0,157.0,14.32,938.0,845.0,28.0,50.23522136
489,387.0,20.0,94.0,157.0,13.93,938.0,845.0,3.0,25.510612
493,387.0,20.0,94.0,157.0,11.61,938.0,845.0,7.0,41.66503468
499,491.0,26.0,123.0,210.0,3.93,882.0,699.0,28.0,55.55108132
507,424.0,22.0,132.0,178.0,8.48,822.0,750.0,28.0,62.05284
511,424.0,22.0,132.0,178.0,8.48,822.0,750.0,56.0,65.697213145812
515,202.0,11.0,141.0,206.0,1.72,942.0,801.0,28.0,21.96670536
517,202.0,11.0,141.0,206.0,1.72,942.0,801.0,7.0,15.0699754305414
519,284.0,15.0,141.0,179.0,5.46,842.0,801.0,28.0,43.73346268
520,284.0,15.0,141.0,179.0,5.46,842.0,801.0,3.0,13.3955337152707
525,359.0,19.0,141.0,154.0,10.91,942.0,801.0,3.0,25.1166257152707
526,359.0,19.0,141.0,154.0,10.91,942.0,801.0,3.0,23.639177145812
527,359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,35.7542554305414
528,359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,38.610656
531,436.0,0.0,0.0,218.0,0.0,838.4,719.7,28.0,23.84897484
535,393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,48.846616696
537,480.0,0.0,0.0,192.0,0.0,936.2,712.2,28.0,43.942373908
538,480.0,0.0,0.0,192.0,0.0,936.2,712.2,7.0,34.569637164
545,255.0,0.0,0.0,192.0,0.0,889.8,945.0,28.0,18.746162964
550,393.0,0.0,0.0,192.0,0.0,940.6,785.6,7.0,27.742445812
554,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7.0,15.691094808
555,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28.0,27.935499092
556,193.5,290.2,0.0,185.7,0.0,998.2,704.3,28.0,32.626693796
558,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7.0,19.765208492
568,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7.0,25.447869684
577,135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28.0,18.19871902
578,193.5,290.2,0.0,185.7,0.0,998.2,704.3,7.0,17.200357772
579,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28.0,22.629981272
581,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7.0,12.37264682
585,290.2,193.5,0.0,185.7,0.0,998.2,704.3,28.0,33.0431373
588,186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7.0,7.995853172
599,339.0,0.0,0.0,197.0,0.0,968.0,781.0,7.0,20.96696516
602,339.0,0.0,0.0,197.0,0.0,968.0,781.0,90.0,35.17017076
605,236.0,0.0,0.0,194.0,0.0,968.0,885.0,3.0,6.46728488
606,236.0,0.0,0.0,194.0,0.0,968.0,885.0,14.0,12.83804312
607,236.0,0.0,0.0,194.0,0.0,968.0,885.0,28.0,18.41590396
608,236.0,0.0,0.0,194.0,0.0,968.0,885.0,90.0,21.94602108
610,236.0,0.0,0.0,193.0,0.0,968.0,885.0,365.0,25.08313688
611,277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26343984
619,254.0,0.0,0.0,198.0,0.0,968.0,863.0,180.0,27.62730332
628,200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28.0,12.24509376
632,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28.0,30.57136584
634,275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28.0,24.49708228
637,375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7.0,26.0621928
640,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7.0,30.14389072
645,203.5,305.3,0.0,203.5,0.0,963.4,630.0,7.0,19.539060364
650,122.6,183.9,0.0,203.5,0.0,958.2,800.1,90.0,33.192064116
657,108.3,162.4,0.0,203.5,0.0,938.2,849.0,28.0,20.593958644
667,192.0,288.0,0.0,192.0,0.0,929.8,716.1,28.0,39.321505756
672,173.0,116.0,0.0,192.0,0.0,946.8,856.8,3.0,6.940954892
673,212.0,141.3,0.0,203.5,0.0,973.4,750.0,7.0,15.0305768
674,236.0,157.0,0.0,192.0,0.0,972.6,749.1,3.0,13.5654403
684,192.0,288.0,0.0,192.0,0.0,929.8,716.1,90.0,50.732333556
685,133.0,200.0,0.0,192.0,0.0,927.4,839.2,7.0,13.664035368
687,236.0,157.0,0.0,192.0,0.0,972.6,749.1,90.0,47.782065752
689,157.0,236.0,0.0,192.0,0.0,935.4,781.2,7.0,16.889404096
692,212.0,141.3,0.0,203.5,0.0,973.4,750.0,90.0,39.70002808
693,153.0,102.0,0.0,192.0,0.0,888.0,943.1,28.0,17.96429718
696,183.9,122.6,0.0,203.5,0.0,959.2,800.0,7.0,10.787541496
704,250.2,166.8,0.0,203.5,0.0,977.6,694.1,3.0,9.731264264
705,122.6,183.9,0.0,203.5,0.0,958.2,800.1,3.0,3.31982694
710,250.2,166.8,0.0,203.5,0.0,977.6,694.1,28.0,36.964187312
712,192.0,288.0,0.0,192.0,0.0,929.8,716.1,7.0,21.48062478
714,153.0,102.0,0.0,192.0,0.0,888.0,943.1,7.0,8.374375496
719,166.8,250.2,0.0,203.5,0.0,975.6,692.6,90.0,43.565230536
723,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28.0,27.82725136
728,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28.0,31.74347504
729,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90.0,37.91428524
732,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7.0,9.01145132
733,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28.0,33.60506024
738,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7.0,18.91232668
756,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270.0,74.16693332
764,385.0,0.0,0.0,186.0,0.0,966.0,763.0,3.0,14.69962832
769,331.0,0.0,0.0,192.0,0.0,978.0,825.0,360.0,41.24445432
788,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7.0,18.12632404
804,393.0,0.0,0.0,192.0,0.0,940.0,758.0,28.0,39.58281716
806,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7.0,24.00065956
807,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28.0,37.42475728
812,310.0,0.0,0.0,192.0,0.0,970.0,850.0,90.0,34.6806428
816,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7.0,42.42345828
820,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270.0,67.11359384
822,322.0,0.0,0.0,203.0,0.0,974.0,800.0,28.0,25.17966352
826,480.0,0.0,0.0,192.0,0.0,936.0,721.0,3.0,24.39366088
831,154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0,16.49916068
