row_id,lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
9,1.138,3.0,379.88,1355.375,6683.916,7.915,7.915,464.017,550.985,1.1,5.963,1.019,3.879,0.079,0.95
68,6.175,18.0,29794.844,2307.317,8835.613,246.246,246.246,792.556,674.821,2.499,13.259,1.03,35.248,0.698,0.95
83,3.144,9.0,8380.141,1386.763,7135.12,60.365,60.365,598.568,586.237,1.388,7.508,1.02,12.78,0.253,0.95
105,7.148,21.0,38977.811,2678.079,9137.95,332.138,332.138,843.367,698.053,2.957,15.49,1.035,44.989,0.891,0.95
132,7.148,21.0,38976.661,2678.075,9139.469,332.072,332.072,840.29,697.546,2.955,15.439,1.035,44.747,0.886,0.95
136,2.088,6.0,5609.242,1347.854,6849.289,23.017,23.017,594.393,573.959,1.283,6.925,1.019,22.981,0.25,0.95
150,7.148,21.0,38976.119,2678.075,9140.483,332.145,332.145,838.254,697.211,2.954,15.406,1.035,44.587,0.883,0.95
164,3.144,9.0,8381.135,1386.768,7158.493,60.377,60.377,591.272,584.898,1.387,7.443,1.02,12.477,0.247,0.95
165,4.161,12.0,14725.965,1547.477,7829.095,113.81,113.81,645.537,610.947,1.654,8.845,1.022,17.346,0.343,0.95
171,1.138,3.0,305.706,1332.396,6714.84,6.616,6.616,460.882,547.941,1.094,5.85,1.019,14.834,0.089,0.95
192,4.161,12.0,14726.291,1547.478,7835.232,113.821,113.821,642.949,610.472,1.653,8.819,1.022,17.222,0.341,0.95
200,3.144,9.0,8381.496,1386.77,7168.893,60.375,60.375,588.073,584.305,1.386,7.415,1.02,12.344,0.244,0.95
228,4.161,12.0,14726.603,1547.481,7843.427,113.824,113.824,639.528,609.843,1.652,8.784,1.022,17.057,0.338,0.95
230,6.175,18.0,29798.727,2307.204,8854.195,246.336,246.336,773.045,670.905,2.492,13.016,1.03,33.972,0.673,0.95
