alpha,task,kind,best_loss,lookups
0.0,3,classification,0.0061538461538461,8
0.0,16,classification,0.0146908453303801,8
0.0,28,classification,0.0091562851554037,8
0.0,361234,regression,0.5967879461230221,8
0.0,361236,regression,0.0678443633278501,8
0.0,361244,regression,1.1164313484755477,8
0.5,3,classification,0.0061538461538461,8
0.5,16,classification,0.0146908453303801,8
0.5,28,classification,0.0091562851554037,8
0.5,361234,regression,0.5967879461230221,8
0.5,361236,regression,0.0678443633278501,8
0.5,361244,regression,1.1164313484755477,8
1.0,3,classification,0.0061538461538461,8
1.0,16,classification,0.0146908453303801,8
1.0,28,classification,0.0091562851554037,8
1.0,361234,regression,0.5967879461230221,8
1.0,361236,regression,0.0678443633278501,8
1.0,361244,regression,1.1164313484755477,8
