alpha,task,step,candidate,loss_revealed,best_loss,memory_tasks
0.0,3,1,base:linear,0.0473679332715477,0.0473679332715477,16|28
0.0,3,2,base:extra-trees,0.0075949953660796,0.0075949953660796,16|28
0.0,3,3,base:rbf-1,0.0380722891566265,0.0075949953660796,16|28
0.0,3,4,base:hist-boost,0.0107043558850787,0.0075949953660796,16|28
0.0,3,5,two:unscaled-c1,0.0380722891566265,0.0075949953660796,16|28
0.0,3,6,one:rbf-unscaled,0.0061538461538461,0.0061538461538461,16|28
0.0,3,7,two:unscaled-c100,0.0076598702502317,0.0061538461538461,16|28
0.0,3,8,one:rbf-wide,0.0471084337349397,0.0061538461538461,16|28
0.0,16,1,base:linear,0.0589890965114865,0.0589890965114865,3|28
0.0,16,2,base:extra-trees,0.0344879624642736,0.0344879624642736,3|28
0.0,16,3,base:rbf-1,0.0175876707272056,0.0175876707272056,3|28
0.0,16,4,base:hist-boost,0.0443280967638373,0.0175876707272056,3|28
0.0,16,5,one:rbf-unscaled,0.0171908453303801,0.0171908453303801,3|28
0.0,16,6,base:rbf-10,0.0175876707272056,0.0171908453303801,3|28
0.0,16,7,two:unscaled-c100,0.0171908453303801,0.0171908453303801,3|28
0.0,16,8,two:unscaled-c1,0.0146908453303801,0.0146908453303801,3|28
0.0,28,1,base:linear,0.0333289577216024,0.0333289577216024,3|16
0.0,28,2,base:extra-trees,0.0147966702913521,0.0147966702913521,3|16
0.0,28,3,base:rbf-1,0.0249958557674039,0.0147966702913521,3|16
0.0,28,4,base:hist-boost,0.0261934247605266,0.0147966702913521,3|16
0.0,28,5,one:rbf-unscaled,0.0126218039093576,0.0126218039093576,3|16
0.0,28,6,base:rbf-10,0.0213520121000516,0.0126218039093576,3|16
0.0,28,7,two:unscaled-c100,0.0126218039093576,0.0126218039093576,3|16
0.0,28,8,two:unscaled-c1,0.0091562851554037,0.0091562851554037,3|16
0.0,361234,1,one:median-reference,0.9606271777003484,0.9606271777003484,361236|361244
0.0,361234,2,base:linear,0.6425213138241322,0.6425213138241322,361236|361244
0.0,361234,3,base:random-forest,0.620673181620209,0.620673181620209,361236|361244
0.0,361234,4,base:rbf-1,0.5967879461230221,0.5967879461230221,361236|361244
0.0,361234,5,one:absolute-boost,0.5976801197258802,0.5967879461230221,361236|361244
0.0,361234,6,one:absolute-forest,0.6017435213414635,0.5967879461230221,361236|361244
0.0,361234,7,two:log-boost,0.6440854627914262,0.5967879461230221,361236|361244
0.0,361234,8,two:log-svr,0.5988896037456004,0.5967879461230221,361236|361244
0.0,361236,1,one:median-reference,0.9999130438420936,0.9999130438420936,361234|361244
0.0,361236,2,base:linear,0.7058718630826383,0.7058718630826383,361234|361244
0.0,361236,3,base:random-forest,0.0678443633278501,0.0678443633278501,361234|361244
0.0,361236,4,base:rbf-1,0.2214090295664642,0.0678443633278501,361234|361244
